Iteration,IDA,IBOA,PEGDA,Young Mod,Young Mod_stdev,Peak Stress,Peak Stress_stdev,Peak Strain,Peak Strain_stdev,Hardness,Hardness_stdev
0,1,0,0,0.02,0,0.04,0.01,1.94,0.33,5,1
0,0,1,0,438.01,89.15,4.66,0.82,0.02,0,90,5.2
0,0,0,1,"1,028.00",61.66,22.57,3.08,0.05,0.02,86.4,4.29
0,0.5,0.5,0,0.15,0.04,,,,,5.8,1.04
0,0.5,0,0.5,28.89,0.72,1.85,0.24,0.07,0.01,84.5,1
0,0,0.5,0.5,"1,870.01",35.23,36.14,3.31,0.03,0.01,93.3,1.2
0,0.25,0.75,0,84.72,25.06,2.65,0.19,1.66,0.33,80,4.53
0,0.75,0.25,0,0.02,0.01,0.05,0.01,3.45,0.37,7.1,1.08
0,0.25,0,0.75,187.87,19.16,6.46,0.96,0.06,0.01,87.25,4.86
0,0.75,0,0.25,6.92,0.59,0.35,0.05,0.07,0.02,64.8,4.45
0,0,0.25,0.75,"1,088.17",86.73,25.38,1.75,0.05,0.02,91.9,4.26
0,0,0.75,0.25,"1,297.91",191.24,26.79,4.17,0.04,0.01,86.4,1.95
1,0,0.6,0.4,"1,789.01",117.53,38.88,7.43,0.05,0.01,92.5,2.26
1,0.62,0.17,0.21,6.44,0.38,0.36,0.08,0.06,0.01,60.92,5.53
1,0.05,0.7,0.25,"1,498.85",64.94,44.52,2.14,0.08,0.01,89.8,1.1
1,0.52,0.24,0.24,8.03,0.4,0.5,0.06,0.07,0.15,70.1,2.72
1,0.5,0.22,0.28,10.77,0.62,0.58,0.08,0.06,0.01,67,3.83
2,0.19,0.51,0.3,335.82,69.65,6.91,1.59,0.05,0.01,77.1,1.95
2,0,0.85,0.15,"1,386.49",60.05,27.25,4.34,0.03,0.01,86.33,1.97
2,0.23,0.37,0.4,338.86,61.16,9.34,1.12,0.1,0.03,82.2,2.49
2,0,0.67,0.33,"1,712.83",59.82,43.54,4.64,0.03,0.01,90,2
2,0.1,0.5,0.4,"1,405.35",67.14,40.23,2.41,0.05,0.01,91.92,3.43
3,0,0.41,0.59,"1,479.94",73.47,19.85,4.06,0.02,0,92.75,3.17
3,0.08,0.32,0.6,"1,205.28",87.71,15.02,3.7,0.02,0,90.5,1.35
3,0.45,0.35,0.2,7.04,0.35,1.07,0.05,0.18,0.01,54.9,2.13
3,0.55,0.3,0.15,4.15,0.27,0.55,0.08,0.17,0.03,57.83,2.25
3,0.33,0.37,0.3,47.3,7.28,4.46,0.54,0.31,0.05,74.92,1.59
4,0.05,0.59,0.36,"1,521.58",44.51,40.22,3.91,0.04,0.01,87.83,0.61
4,0.37,0.57,0.06,1.36,0.11,0.94,0.22,0.92,0.14,42.75,2.14
4,0.34,0.19,0.47,64.71,6.74,5.04,0.6,0.15,0.01,86.3,3.11
4,0.05,0.49,0.46,"1,550.58",39.27,43.63,6.27,0.06,0.01,93,2.37
4,0.29,0.46,0.25,255.14,58.37,7.63,1.95,0.33,0.05,84.25,1.04
5,0.05,0.59,0.36,"1,563.55",150.52,36.13,8.43,0.05,0.01,90.3,5.18
5,0.16,0.24,0.6,975.04,170.35,26.68,3.78,0.06,0.01,78.7,3.91
5,0.42,0.1,0.48,46.56,3.57,3.53,0.38,0.11,0.02,77.7,1.25
6,0.12,0.86,0.02,719.25,174.09,3.7,0.47,0.01,0,84.6,2.25
6,0.86,0.02,0.12,2.31,0.18,0.2,0,0.08,0.01,47,2.67
6,0.86,0.12,0.02,0.17,0.02,0.1,1.48E-17,0.39,0.07,16.83,2.42
