,composition,load,hardness,source,category,type
0,Tl1Ag1Te2,0.0,2.36371238480562,sim_H_tian,1,only_dft
1,Tl1Ag1Te2,0.0,0.6544807812603142,sim_H_chen,2,only_dft
2,Tl1Ag1Te2,0.0,2.6964,sim_H_ref5,3,only_dft
3,Tl1Ag1Te2,0.0,1.9175,sim_H_ref5a,4,only_dft
4,Tl1Ag1Te2,0.0,0.5992999999999999,sim_H_ref6,5,only_dft
5,C4B4,0.0,34.76434595018621,sim_H_tian,1,only_dft
6,C4B4,0.0,35.63379128219868,sim_H_chen,2,only_dft
7,C4B4,0.0,25.5837321,sim_H_ref5,3,only_dft
8,C4B4,0.0,32.9416175,sim_H_ref5a,4,only_dft
9,C4B4,0.0,36.6086077,sim_H_ref6,5,only_dft
10,C10B6,0.0,33.00472847646598,sim_H_tian,1,only_dft
11,C10B6,0.0,33.23028969538401,sim_H_chen,2,only_dft
12,C10B6,0.0,30.2510079,sim_H_ref5,3,only_dft
13,C10B6,0.0,35.5113625,sim_H_ref5a,4,only_dft
14,C10B6,0.0,39.6905595,sim_H_ref6,5,only_dft
15,C7B1,0.0,53.35607697475873,sim_H_tian,1,only_dft
16,C7B1,0.0,53.11430613090255,sim_H_chen,2,only_dft
17,C7B1,0.0,37.67323409999999,sim_H_ref5,3,only_dft
18,C7B1,0.0,52.7423125,sim_H_ref5a,4,only_dft
19,C7B1,0.0,60.3560175,sim_H_ref6,5,only_dft
20,C10B2N4,0.0,54.7372633292348,sim_H_tian,1,only_dft
21,C10B2N4,0.0,55.5003745606809,sim_H_chen,2,only_dft
22,C10B2N4,0.0,30.9701763,sim_H_ref5,3,only_dft
23,C10B2N4,0.0,47.395585,sim_H_ref5a,4,only_dft
24,C10B2N4,0.0,53.9435694,sim_H_ref6,5,only_dft
25,C18B3N3,0.0,83.60319081882727,sim_H_tian,1,only_dft
26,C18B3N3,0.0,82.9001976941935,sim_H_chen,2,only_dft
27,C18B3N3,0.0,38.2704867,sim_H_ref5,3,only_dft
28,C18B3N3,0.0,67.9330425,sim_H_ref5a,4,only_dft
29,C18B3N3,0.0,78.57459469999999,sim_H_ref6,5,only_dft
30,C10B2N2O2,0.0,42.47824403026808,sim_H_tian,1,only_dft
31,C10B2N2O2,0.0,42.82511181487174,sim_H_chen,2,only_dft
32,C10B2N2O2,0.0,32.0444991,sim_H_ref5,3,only_dft
33,C10B2N2O2,0.0,42.18721249999999,sim_H_ref5a,4,only_dft
34,C10B2N2O2,0.0,47.6970535,sim_H_ref6,5,only_dft
35,B8C4O4,0.0,33.72530099906685,sim_H_tian,1,only_dft
36,B8C4O4,0.0,34.32253693620004,sim_H_chen,2,only_dft
37,B8C4O4,0.0,27.276012,sim_H_ref5,3,only_dft
38,B8C4O4,0.0,33.7089125,sim_H_ref5a,4,only_dft
39,B8C4O4,0.0,37.5288415,sim_H_ref6,5,only_dft
40,B8C4O8,0.0,37.36538951760117,sim_H_tian,1,only_dft
41,B8C4O8,0.0,38.00480392274156,sim_H_chen,2,only_dft
42,B8C4O8,0.0,28.3462902,sim_H_ref5,3,only_dft
43,B8C4O8,0.0,36.4898775,sim_H_ref5a,4,only_dft
44,B8C4O8,0.0,40.8641141,sim_H_ref6,5,only_dft
45,B8C2O8,0.0,35.74337325162482,sim_H_tian,1,only_dft
46,B8C2O8,0.0,36.87535600944992,sim_H_chen,2,only_dft
47,B8C2O8,0.0,24.1195869,sim_H_ref5,3,only_dft
48,B8C2O8,0.0,32.248515,sim_H_ref5a,4,only_dft
49,B8C2O8,0.0,35.7773546,sim_H_ref6,5,only_dft
50,B6C2O5,0.0,33.25107466004859,sim_H_tian,1,only_dft
51,B6C2O5,0.0,34.61132206852449,sim_H_chen,2,only_dft
52,B6C2O5,0.0,21.4689294,sim_H_ref5,3,only_dft
53,B6C2O5,0.0,28.8628,sim_H_ref5a,4,only_dft
54,B6C2O5,0.0,31.716792,sim_H_ref6,5,only_dft
55,B8C4O4,0.0,28.91373953850595,sim_H_tian,1,only_dft
