,composition,load,hardness,category,type
0,Ag0.05Gd0.048Pd0.902 ,0.49,1.81,exp,only_exp
1,Ag0.05Y0.048Pd0.902 ,0.49,1.64,exp,only_exp
2,Ag0.25Pb0.5Sb0.25Te,2.94,0.578,exp,only_exp
3,Al1.5Si1.5N2.5O1.5 ,0.98,15.03,exp,only_exp
4,Al1.67B22,2,23.8,exp,only_exp
5,Al3BC3,0.25,20.7,exp,only_exp
6,Al3BC3,0.49,18.2,exp,only_exp
7,Al3BC3 ,10,11.1,exp,only_exp
8,Al3C2B48,1.96,33,exp,only_exp
9,AlB12,1.96,27,exp,only_exp
10,AlMgB14,0.98,33.5,exp,only_exp
11,AlMgB14,9.8,28.2,exp,only_exp
12,AlN,0.5,18,exp,only_exp
13,AlN,0.98,12.01,exp,only_exp
14,AlSb,0.98,4,exp,only_exp
15,Au0.5Pt0.5 ,9.8,1.07,exp,only_exp
16,Au0.98Co0.02,0.25,0.49,exp,only_exp
17,AuSn,0.49,1.42,exp,only_exp
18,AuSn2,0.49,2.55,exp,only_exp
19,AuSn4,0.49,0.74,exp,only_exp
20,AuTiAl,0.98,3.58,exp,only_exp
21,AuV3 ,0.49,8.83,exp,only_exp
22,B13N2,0.49,44.384,exp,only_exp
23,B13N2,0.98,42.019435,exp,only_exp
24,B13N2,1.96,41.6932,exp,only_exp
25,B13N2,3.92,40.97,exp,only_exp
26,B50Fe,0.49,39.32,exp,only_exp
27,B6O,0.25,54,exp,only_exp
28,B6O,0.49,53,exp,only_exp
29,B6O,0.98,45,exp,only_exp
30,BaB6,0.29,29.42,exp,only_exp
31,BaHfO3 ,9.8,5.1,exp,only_exp
32,BaSnO3 ,9.8,5,exp,only_exp
33,BC2N,4.9,71,exp,only_exp
34,BC5,4.9,67,exp,only_exp
35,Be12Nb,0.98,4.9,exp,only_exp
36,Be12Ta,0.98,7.06,exp,only_exp
37,Be2B,0.98,8.73,exp,only_exp
38,BN,0.96,55.966,exp,only_exp
39,BN,1.96,53.756,exp,only_exp
40,BN,2.94,51.306,exp,only_exp
41,C,9.8,92,exp,only_exp
42,CaB6,0.29,26.48,exp,only_exp
43,Cd2Gd,0.98,1.27,exp,only_exp
44,Cd3Gd,0.98,2.75,exp,only_exp
45,Cd45Gd11 ,0.98,3.97,exp,only_exp
46,Cd6Gd,0.98,2.99,exp,only_exp
47,CdGd,0.98,1.47,exp,only_exp
48,CdTe,0.25,0.59,exp,only_exp
49,Ce0.5U0.5O2 ,0.02,6.1,exp,only_exp
50,Ce0.8Gd0.2O1.9 ,9.8,6.045,exp,only_exp
51,Ce0.8Nd0.2O1.9 ,9.8,6.799,exp,only_exp
52,CeAlO3 ,1.96,9,exp,only_exp
53,CeB6,0.29,30.79,exp,only_exp
54,CeB6,1.96,18.65,exp,only_exp
55,CeC2 ,2.942,0.98,exp,only_exp
56,CeGaO3 ,1.96,7.2,exp,only_exp
57,CeMn2Si2 ,0.49,6.8,exp,only_exp
58,CeRh3 ,2.942,2,exp,only_exp
59,CeRh3B,2.942,5.5,exp,only_exp
60,Co0.7Pt0.3 ,9.8,0.96,exp,only_exp
61,Co2B,0.49,11.28,exp,only_exp
62,Co3B,0.49,11.28,exp,only_exp
63,CoB,0.49,11.28,exp,only_exp
64,CoB2,0.49,25.25,exp,only_exp
65,CoB50,0.49,37.07,exp,only_exp
66,Cr0.05W0.95B4,0.49,50.92855526,exp,only_exp
67,Cr0.05W0.95B4,0.98,46.45652707,exp,only_exp
68,Cr0.05W0.95B4,1.96,37.69876855,exp,only_exp
69,Cr0.05W0.95B4,2.94,35.6180058,exp,only_exp
70,Cr0.05W0.95B4,4.9,31.92237464,exp,only_exp
71,Cr0.2Pt0.8 ,9.8,1.11,exp,only_exp
72,Cr0.2Re0.5Fe0.3 ,0.49,14.6,exp,only_exp
73,Cr0.3W0.7B4,0.49,42.12417551,exp,only_exp
74,Cr0.3W0.7B4,0.98,39.73289136,exp,only_exp
75,Cr0.3W0.7B4,1.96,34.2049445,exp,only_exp
76,Cr0.3W0.7B4,2.94,31.44100848,exp,only_exp
77,Cr0.3W0.7B4,4.9,27.34159474,exp,only_exp
78,Cr0.43Re0.43Co0.14 ,0.5,6.4,exp,only_exp
79,Cr0.4Fe0.4Co0.4Ni0.4Al0.4 ,1.96,7.26,exp,only_exp
80,Cr0.5W0.5B4,0.49,44.50309343,exp,only_exp
81,Cr0.5W0.5B4,0.98,38.81984845,exp,only_exp
82,Cr0.5W0.5B4,1.96,34.53413684,exp,only_exp
83,Cr0.5W0.5B4,2.94,32.88819384,exp,only_exp
84,Cr0.5W0.5B4,4.9,27.20494886,exp,only_exp
85,Cr0.67Mo2Ni0.33B2 ,1,21.96,exp,only_exp
86,Cr11Ge19 ,0.98,8.38,exp,only_exp
87,Cr11Ge8,0.98,8.14,exp,only_exp
88,Cr2.4W0.6B4,0.98,16.8,exp,only_exp
89,Cr2.55Mo0.45B4,0.98,21.5,exp,only_exp
90,Cr2.58Ta0.42B4,0.98,22.2,exp,only_exp
91,Cr2.67V0.33B4,0.98,21.8,exp,only_exp
92,Cr2.79Nb0.21B4,0.98,21.6,exp,only_exp
93,Cr2.91Ti0.09B4,0.98,22.1,exp,only_exp
94,Cr28.58Al112.28,0.49,5.96,exp,only_exp
95,Cr2Al,0.49,5.79,exp,only_exp
96,Cr2B,0.49,13.24,exp,only_exp
97,Cr2B3,0.98,20.69,exp,only_exp
98,Cr3B4,0.49,23.89,exp,only_exp
99,Cr3B4,0.98,14.71,exp,only_exp
100,Cr3C2,0.49,10.75,exp,only_exp
101,Cr4Al9,0.49,6.25,exp,only_exp
102,Cr4B,0.49,12.16,exp,only_exp
103,Cr5Al8 ,0.49,7.85,exp,only_exp
104,Cr5B3,0.49,14.91,exp,only_exp
105,Cr5Ge3,0.98,7.02,exp,only_exp
106,Cr7Al45 ,0.49,3.03,exp,only_exp
107,CrB,0.98,27.5,exp,only_exp
108,CrB,1.96,23,exp,only_exp
109,CrB,2.94,21.5,exp,only_exp
110,CrB2,0.49,20.59,exp,only_exp
111,CrB4,0.98,26.1,exp,only_exp
112,CrB50,0.49,40.31,exp,only_exp
113,CrGe,0.98,6.24,exp,only_exp
114,Cu0.5Pt0.5 ,9.8,1.25,exp,only_exp
115,Cu10Zr7,0.49,5.49,exp,only_exp
116,Cu2.5LaNi2.5 ,0.98,6.12,exp,only_exp
117,Cu4Y0.1Yb0.9In,0.98,6.32,exp,only_exp
118,Cu4YbIn,0.98,5.58,exp,only_exp
119,Cu4YIn,0.98,6.9,exp,only_exp
120,Cu51Zr14 ,0.49,5.05,exp,only_exp
121,Cu5Gd,0.98,4.41,exp,only_exp
122,Cu5Nd,0.98,3.92,exp,only_exp
123,Cu5Zr,0.49,4.61,exp,only_exp
124,Cu6Gd,0.98,4.81,exp,only_exp
125,CuEu2,0.98,1.27,exp,only_exp
126,CuZr,0.49,4.24,exp,only_exp
127,CuZr2 ,0.49,4.41,exp,only_exp
128,DyB12,0.49,30.4,exp,only_exp
129,DyC2 ,1.72,5.71,exp,only_exp
130,DyMn2Si2 ,0.49,5.5,exp,only_exp
131,ErB12,0.49,34.32,exp,only_exp
132,ErC2 ,1.72,4.47,exp,only_exp
133,ErPd2Ge,0.98,7.45,exp,only_exp
134,ErRh3B,0.98,4.9,exp,only_exp
135,ErRh4B4 ,0.98,11.1,exp,only_exp
136,EuB6,0.98,26.09,exp,only_exp
137,Fe0.5Pt0.5 ,9.8,1.11,exp,only_exp
138,Fe0.85Pt0.15,9.8,0.84,exp,only_exp
139,Fe0.9Ru0.1,9.8,0.8,exp,only_exp
140,GaN,0.49,11,exp,only_exp
141,GaP,0.49,9.45,exp,only_exp
142,Gd0.2Nd0.8B6,5,22.74,exp,only_exp
143,Gd0.4Nd0.6B6,5,22.41,exp,only_exp
144,Gd0.8Nd0.2B6,5,22.65,exp,only_exp
145,Gd2Co17 ,0.98,7.01,exp,only_exp
146,GdC2,1.72,4.63,exp,only_exp
147,GdCo2,0.98,5.88,exp,only_exp
148,GdCo3,0.98,6.28,exp,only_exp
149,GdCo5,0.98,6.86,exp,only_exp
150,GdMn2Si2 ,0.49,6.8,exp,only_exp
151,GdRh3B,2.94,6.8,exp,only_exp
152,Hf0.04W0.96B4,0.49,51.33958492,exp,only_exp
153,Hf0.04W0.96B4,0.98,39.9514797,exp,only_exp
154,Hf0.04W0.96B4,1.96,34.87300034,exp,only_exp
155,Hf0.04W0.96B4,2.94,33.45718185,exp,only_exp
156,Hf0.04W0.96B4,4.9,31.08725252,exp,only_exp
157,Hf0.12V2.91Ge0.97 ,0.49,10.2,exp,only_exp
158,Hf0.1Pt0.9 ,9.8,0.7,exp,only_exp
