smiles1,smiles2,smiles3,c1,c2,c3,solvent_NaOH (M),solvent_KOH (M),additive_glutaraldehyde (wt%),additive_1-vinyl-propyltriethoxysilane-imidazolium  (wt%),additive_Polyvinylbenzyl_chloride (wt%),additive_phenyl-Silsesquioxane  (wt%),additive_Im-phenyl-Silsesquioxane  (wt%),additive_QA-Silsesquioxane  (wt%),additive_hexanedithiol  (wt%),additive_octanedithiol  (wt%),additive_PEG  (wt%),additive_PE  (wt%),additive_ZrO2  (wt%),additive_diethanediol  (wt%),additive_halloysite_nanotube  (wt%),additive_Polyvinyl_Imidazolium  (wt%),additive_PAGE  (wt%),RH (%),theor_IEC (meq/g),stability_test_temp (C),prop_test_temp (C),prop,time(h),value
Cn5c(c2c(c1ccc(*)cc1)cccc2c3ccc(*)cc3)[n+](C)c4ccccc45,*CC*,*CC*,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,2.68,25,22,OHCond(mS/cm),0,1.114
C[N+](C)(C)CC(O)C[N+](C)(C)Cc1cc(O*)ccc1Oc3ccc(C(=O)c2ccc(*)cc2)cc3,Cc3cc(Oc2ccc(C(=O)c1ccc(*)cc1)cc2)ccc3O*,*CC*,53,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,2.74,25,25,OHCond(mS/cm),0,0.949
C[N+](C)(C)CC(O)C[N+](C)(C)Cc1cc(O*)ccc1Oc3ccc(C(=O)c2ccc(*)cc2)cc3,Cc3cc(Oc2ccc(C(=O)c1ccc(*)cc1)cc2)ccc3O*,*CC*,85,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.88,25,25,OHCond(mS/cm),0,0.975
C[N+](C)(C)CC(O)C[N+](C)(C)Cc1cc(O*)ccc1Oc3ccc(C(=O)c2ccc(*)cc2)cc3,Cc3cc(Oc2ccc(C(=O)c1ccc(*)cc1)cc2)ccc3O*,*CC*,53,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,2.74,25,30,OHCond(mS/cm),0,0.985
C[N+](C)(C)CC(O)C[N+](C)(C)Cc1cc(O*)ccc1Oc3ccc(C(=O)c2ccc(*)cc2)cc3,Cc3cc(Oc2ccc(C(=O)c1ccc(*)cc1)cc2)ccc3O*,*CC*,67,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.27,25,25,OHCond(mS/cm),0,1
C[N+](C)(C)CC(O)C[N+](C)(C)Cc1cc(O*)ccc1Oc3ccc(C(=O)c2ccc(*)cc2)cc3,Cc3cc(Oc2ccc(C(=O)c1ccc(*)cc1)cc2)ccc3O*,*CC*,53,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,2.74,25,40,OHCond(mS/cm),0,1.102
C[N+](C)(C)CC(O)C[N+](C)(C)Cc1cc(O*)ccc1Oc3ccc(C(=O)c2ccc(*)cc2)cc3,Cc3cc(Oc2ccc(C(=O)c1ccc(*)cc1)cc2)ccc3O*,*CC*,67,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3.27,25,30,OHCond(mS/cm),0,1.119
C[N+](C)(C)CC(O)C[N+](C)(C)Cc1cc(O*)ccc1Oc3ccc(C(=O)c2ccc(*)cc2)cc3,Cc3cc(Oc2ccc(C(=O)c1ccc(*)cc1)cc2)ccc3O*,*CC*,53,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,2.74,25,50,OHCond(mS/cm),0,1.157
C[N+](C)(C)CC(O)C[N+](C)(C)Cc1cc(O*)ccc1Oc3ccc(C(=O)c2ccc(*)cc2)cc3,Cc3cc(Oc2ccc(C(=O)c1ccc(*)cc1)cc2)ccc3O*,*CC*,53,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,2.74,25,60,OHCond(mS/cm),0,1.21
C[N+](C)(C)CC(O)C[N+](C)(C)Cc1cc(O*)ccc1Oc3ccc(C(=O)c2ccc(*)cc2)cc3,Cc3cc(Oc2ccc(C(=O)c1ccc(*)cc1)cc2)ccc3O*,*CC*,53,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,2.74,25,70,OHCond(mS/cm),0,1.271
