,smiles1,smiles2,smiles3,c1,c2,c3,Temp(C),RH(%),lw,prop,value
0,Cc1cc(*)cc(C[N+](C)(C)C)c1O*.[Br-],Cc1cc(*)cc(C)c1O*,*CC*,37.0,63.0,0.0,25.0,100.0,1,OHCond(mS/cm),12.1
1,Cc1cc(*)cc(C[N+](C)(C)C)c1O*.[Br-],Cc1cc(*)cc(C)c1O*,*CC*,37.0,63.0,0.0,25.0,100.0,1,OHCond(mS/cm),15.1
2,Cc1cc(*)cc(C[N+](C)(C)C)c1O*.[Br-],Cc1cc(*)cc(C)c1O*,*CC*,37.0,63.0,0.0,60.0,100.0,1,OHCond(mS/cm),18.5
3,Cc1cc(*)cc(C[N+](C)(C)C)c1O*.[Br-],Cc1cc(*)cc(C)c1O*,*CC*,37.0,63.0,0.0,80.0,100.0,1,OHCond(mS/cm),21.6
4,*CC(*)C,C[N+](C)(C)CCCCCCCCCC(C*)*.[OH-],*CC*,80.0,20.0,0.0,20.0,100.0,1,OHCond(mS/cm),17.4
5,*CC(*)C,C[N+](C)(C)CCCCCCCCCC(C*)*.[OH-],*CC*,80.0,20.0,0.0,40.0,100.0,1,OHCond(mS/cm),29.0
6,*CC(*)C,C[N+](C)(C)CCCCCCCCCC(C*)*.[OH-],*CC*,80.0,20.0,0.0,60.0,100.0,1,OHCond(mS/cm),42.3
7,*CC(*)C,C[N+](C)(C)CCCCCCCCCC(C*)*.[OH-],*CC*,80.0,20.0,0.0,80.0,100.0,1,OHCond(mS/cm),53.4
8,*CC(*)C,C[N+](C)(C)CCCCCCCCCC(C*)*.[OH-],*CC*,80.0,20.0,0.0,90.0,100.0,1,OHCond(mS/cm),59.4
9,*CC(*)C,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCC(C*)*.[OH-],*CC*,80.0,20.0,0.0,20.0,100.0,1,OHCond(mS/cm),19.2
10,*CC(*)C,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCC(C*)*.[OH-],*CC*,80.0,20.0,0.0,40.0,100.0,1,OHCond(mS/cm),32.1
11,*CC(*)C,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCC(C*)*.[OH-],*CC*,80.0,20.0,0.0,60.0,100.0,1,OHCond(mS/cm),44.9
12,*CC(*)C,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCC(C*)*.[OH-],*CC*,80.0,20.0,0.0,80.0,100.0,1,OHCond(mS/cm),56.6
13,*CC(*)C,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCC(C*)*.[OH-],*CC*,80.0,20.0,0.0,90.0,100.0,1,OHCond(mS/cm),63.0
14,*CC(*)C,CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCC(C*)*.[OH-],*CC*,93.0,7.0,0.0,20.0,100.0,1,OHCond(mS/cm),6.1
