,property,value (log),smiles_string
0,p_exp_O2,-8.173925197,[*]C(F)(F)C(F)(F)CC1(F)OC(F)(F)OC1([*])OC(F)(F)F
1,s_sim_O2,-1.768073876,[*]C(F)(F)C(F)(F)CC1(F)OC(F)(F)OC1([*])OC(F)(F)F
2,p_exp_O2,-7.886056648,[*]/C=C(/[*])C(C)(C)C
3,d_exp_O2,-5.431798276,[*]/C=C(/[*])C(C)(C)C
4,s_sim_O2,-1.864076063,[*]/C=C(/[*])C(C)(C)C
5,s_exp_O2,-2.454258312,[*]/C=C(/[*])C(C)(C)C
6,p_exp_CO2,-8.455931956,[*]C(F)(F)C(F)(F)C1(F)C(F)(F)C([*])(F)OC(F)(F)C1(F)F
7,s_sim_CO2,-0.519637633,[*]C(F)(F)C(F)(F)C1(F)C(F)(F)C([*])(F)OC(F)(F)C1(F)F
8,p_exp_O2,-9.838631998,[*]CC([*])(C)C(=O)OCCOCC
9,d_exp_O2,-6.698970004,[*]CC([*])(C)C(=O)OCCOCC
10,d_sim_O2,-5.663540266,[*]CC([*])(C)C(=O)OCCOCC
11,s_sim_O2,-2.386635001,[*]CC([*])(C)C(=O)OCCOCC
12,s_exp_O2,-3.139661993,[*]CC([*])(C)C(=O)OCCOCC
13,p_sim_O2,-8.050122296,[*]CC([*])(C)C(=O)OCCOCC
14,s_sim_O2,-2.514586095,[*]CCCCCCCCCCNC([*])=O
15,p_exp_N2,-10.41453927,[*]CC([*])(C)C(=O)OCCOCC
16,d_exp_N2,-6.958607315,[*]CC([*])(C)C(=O)OCCOCC
17,d_sim_N2,-5.826813732,[*]CC([*])(C)C(=O)OCCOCC
18,s_sim_N2,-2.666118648,[*]CC([*])(C)C(=O)OCCOCC
19,s_exp_N2,-3.455931956,[*]CC([*])(C)C(=O)OCCOCC
20,p_sim_N2,-8.493494968,[*]CC([*])(C)C(=O)OCCOCC
21,p_exp_N2,-8.366531544,[*]/C=C(/[*])C(C)(C)C
22,d_exp_N2,-5.721246399,[*]/C=C(/[*])C(C)(C)C
23,s_sim_N2,-1.961815702,[*]/C=C(/[*])C(C)(C)C
24,s_exp_N2,-2.645285125,[*]/C=C(/[*])C(C)(C)C
25,p_exp_N2,-9.301029996,[*]C(F)(F)C(F)(F)C1(F)C(F)(F)C([*])(F)OC(F)(F)C1(F)F
26,s_sim_N2,-1.689519767,[*]C(F)(F)C(F)(F)C1(F)C(F)(F)C([*])(F)OC(F)(F)C1(F)F
27,p_exp_CO2,-8.59345982,[*]Oc1ccc(S(=O)(=O)c2ccc(Oc3c(C)cc(-c4cc(C)c([*])c(C)c4C)c(C)c3C)cc2)cc1
28,s_sim_CO2,-0.640043412,[*]Oc1ccc(S(=O)(=O)c2ccc(Oc3c(C)cc(-c4cc(C)c([*])c(C)c4C)c(C)c3C)cc2)cc1
29,p_exp_O2,-10.07572071,[*]CC([*])c1ccncc1
30,d_exp_O2,-7.366531544,[*]CC([*])c1ccncc1
31,d_sim_O2,-6.063989204,[*]CC([*])c1ccncc1
32,s_sim_O2,-2.111323571,[*]CC([*])c1ccncc1
33,s_exp_O2,-2.709189252,[*]CC([*])c1ccncc1
34,p_sim_O2,-8.175223538,[*]CC([*])c1ccncc1
35,p_exp_O2,-9.653647026,[*]C=CC1CC([*])C2C(=O)N(C3CCCCC3)C(=O)C12
36,d_exp_O2,-7.070581074,[*]C=CC1CC([*])C2C(=O)N(C3CCCCC3)C(=O)C12
37,d_sim_O2,-6.118045029,[*]C=CC1CC([*])C2C(=O)N(C3CCCCC3)C(=O)C12
38,s_sim_O2,-1.867256003,[*]C=CC1CC([*])C2C(=O)N(C3CCCCC3)C(=O)C12
39,s_exp_O2,-2.583065902,[*]C=CC1CC([*])C2C(=O)N(C3CCCCC3)C(=O)C12
40,p_sim_O2,-7.987162775,[*]C=CC1CC([*])C2C(=O)N(C3CCCCC3)C(=O)C12
41,p_exp_O2,-9.22184875,[*]Oc1ccc(S(=O)(=O)c2ccc(Oc3c(C)cc(-c4cc(C)c([*])c(C)c4C)c(C)c3C)cc2)cc1
42,s_sim_O2,-1.767703896,[*]Oc1ccc(S(=O)(=O)c2ccc(Oc3c(C)cc(-c4cc(C)c([*])c(C)c4C)c(C)c3C)cc2)cc1
43,p_exp_O2,-9.494850022,[*]c1cc(C)c(Oc2ccc(S(=O)(=O)c3ccc(Oc4c(C)cc(C(C)(C)c5ccc(C([*])(C)C)cc5)cc4C)cc3)cc2)c(C)c1
44,d_exp_O2,-7.22184875,[*]c1cc(C)c(Oc2ccc(S(=O)(=O)c3ccc(Oc4c(C)cc(C(C)(C)c5ccc(C([*])(C)C)cc5)cc4C)cc3)cc2)c(C)c1
45,d_sim_O2,-6.181114585,[*]c1cc(C)c(Oc2ccc(S(=O)(=O)c3ccc(Oc4c(C)cc(C(C)(C)c5ccc(C([*])(C)C)cc5)cc4C)cc3)cc2)c(C)c1
46,s_sim_O2,-1.777229466,[*]c1cc(C)c(Oc2ccc(S(=O)(=O)c3ccc(Oc4c(C)cc(C(C)(C)c5ccc(C([*])(C)C)cc5)cc4C)cc3)cc2)c(C)c1
47,s_exp_O2,-2.273001299,[*]c1cc(C)c(Oc2ccc(S(=O)(=O)c3ccc(Oc4c(C)cc(C(C)(C)c5ccc(C([*])(C)C)cc5)cc4C)cc3)cc2)c(C)c1
48,p_sim_O2,-7.958607315,[*]c1cc(C)c(Oc2ccc(S(=O)(=O)c3ccc(Oc4c(C)cc(C(C)(C)c5ccc(C([*])(C)C)cc5)cc4C)cc3)cc2)c(C)c1
