property,smiles_string,p_csmiles,value,unscaled_value,Activity,Temp,Solvent_SMILES,source
p_exp_H2O,CC6(C)CC4(CC(C)(C)c3cc2oc1c(C#N)c([g])c([t])c(C#N)c1oc2cc34)c5cc(O[d])c(O[e])cc56,CC6(C)CC4(CC(C)(C)c3cc2oc1c(C#N)c([g])c([t])c(C#N)c1oc2cc34)c5cc(O[d])c(O[e])cc56,-5.598599459,2.52000000126759e-06,0.3,308.0,H2O,polyVERSE_2025_06_23
d_exp_H2O,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(-c3ccc(-c4ccc(N5C(=O)c6ccc([*])cc6C5=O)cc4)cc3)cc1)C2=O,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(-c3ccc(-c4ccc(N5C(=O)c6ccc([*])cc6C5=O)cc4)cc3)cc1)C2=O,-9.899629455,1.25999999965892e-10,0.75,298.0,H2O,polyVERSE_2025_06_23
d_exp_H2O,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(-c3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)cc1)C2=O,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(-c3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)cc1)C2=O,-9.372634143,4.24000000397612e-10,0.75,298.0,H2O,polyVERSE_2025_06_23
d_exp_H2O,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Cc3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)cc1)C2=O,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Cc3ccc(N4C(=O)c5ccc([*])cc5C4=O)cc3)cc1)C2=O,-8.412289035,3.86999999983147e-09,0.75,298.0,H2O,polyVERSE_2025_06_23
d_exp_H2O,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(N3C(=O)c4ccc([*])cc4C3=O)cc1)C2=O,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(N3C(=O)c4ccc([*])cc4C3=O)cc1)C2=O,-9.197910742,6.34000000172652e-10,0.75,298.0,H2O,polyVERSE_2025_06_23
d_exp_H2O,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(-c4ccc(Oc5ccc(N6C(=O)c7ccc([*])cc7C6=O)cc5)cc4)cc3)cc1)C2=O,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(-c4ccc(Oc5ccc(N6C(=O)c7ccc([*])cc7C6=O)cc5)cc4)cc3)cc1)C2=O,-8.835647144,1.46000000072467e-09,0.75,298.0,H2O,polyVERSE_2025_06_23
d_exp_H2O,[*]C(=O)c1ccc2c(c1)C(=O)N(c1cccc(C(=O)c3cccc(N4C(=O)c5ccc([*])cc5C4=O)c3)c1)C2=O,[*]C(=O)c1cccc(N2C(=O)c3ccc(C(=O)c4ccc5c(c4)C(=O)N(c4cccc([*])c4)C5=O)cc3C2=O)c1,-8.259637311,5.49999999374078e-09,0.5,323.0,H2O,polyVERSE_2025_06_23
d_exp_H2O,[*]C(=O)c1ccc2c(c1)C(=O)N(c1cccc(N3C(=O)c4ccc([*])cc4C3=O)c1)C2=O,[*]C(=O)c1ccc2c(c1)C(=O)N(c1cccc(N3C(=O)c4ccc([*])cc4C3=O)c1)C2=O,-8.812479279,1.54000000057989e-09,0.75,298.0,H2O,polyVERSE_2025_06_23
d_exp_H2O,[*]CC([*])(C)C(=O)OC,[*]CC([*])(C)C(=O)OC,-7.744727495,1.79999999957183e-08,0.73,303.0,H2O,polyVERSE_2025_06_23
d_exp_H2O,[*]CC([*])(C)C(=O)OCC,[*]CC([*])(C)C(=O)OCC,-6.958607315,1.09999999959924e-07,0.22,298.0,H2O,polyVERSE_2025_06_23
d_exp_H2O,[*]CC([*])C#N,[*]CC([*])C#N,-9.008773924,9.80000000693896e-10,0.28,318.0,H2O,polyVERSE_2025_06_23
d_exp_H2O,[*]CC([*])C#N,[*]CC([*])C#N,-9.404503778,3.94000000158241e-10,0.42,303.0,H2O,polyVERSE_2025_06_23
d_exp_H2O,[*]CC([*])C#N,[*]CC([*])C#N,-9.663540266,2.17000000075683e-10,0.46,288.0,H2O,polyVERSE_2025_06_23
d_exp_H2O,[*]CC([*])C#N,[*]CC([*])C#N,-9.166852888,6.81000000136759e-10,0.5,318.0,H2O,polyVERSE_2025_06_23
d_exp_H2O,[*]CC([*])C#N,[*]CC([*])C#N,-9.388276692,4.08999999993086e-10,0.55,303.0,H2O,polyVERSE_2025_06_23
d_exp_H2O,[*]CC([*])C#N,[*]CC([*])C#N,-9.374687549,4.2200000003724e-10,0.65,303.0,H2O,polyVERSE_2025_06_23
d_exp_H2O,[*]CC([*])C#N,[*]CC([*])C#N,-9.860120914,1.37999999872504e-10,0.704,288.0,H2O,polyVERSE_2025_06_23
d_exp_H2O,[*]CC([*])C#N,[*]CC([*])C#N,-9.377785977,4.19000000032517e-10,0.704,318.0,H2O,polyVERSE_2025_06_23
d_exp_H2O,[*]CC([*])C#N,[*]CC([*])C#N,-9.605548319,2.48000000099237e-10,0.75,303.0,H2O,polyVERSE_2025_06_23
d_exp_H2O,[*]CC([*])C#N,[*]CC([*])C#N,-9.585026652,2.6000000001747e-10,0.83,303.0,H2O,polyVERSE_2025_06_23
d_exp_H2O,[*]CC([*])C#N,[*]CC([*])C#N,-9.882728704,1.31000000103834e-10,0.96,288.0,H2O,polyVERSE_2025_06_23
d_exp_H2O,[*]CC([*])Cl,[*]CC([*])Cl,-7.346787486,4.5000000023278e-08,0.19,303.0,H2O,polyVERSE_2025_06_23
d_exp_H2O,[*]CC([*])Cl,[*]CC([*])Cl,-7.623423043,2.3799999996903e-08,0.6,298.0,H2O,polyVERSE_2025_06_23
d_exp_H2O,[*]CC([*])Cl,[*]CC([*])Cl,-7.638272164,2.29999999990682e-08,0.73,303.0,H2O,polyVERSE_2025_06_23
d_exp_H2O,[*]CC([*])OC(C)=O,[*]CC([*])OC(C)=O,-7.537602002,2.90000000067472e-08,0.795624068,296.0,H2O,polyVERSE_2025_06_23
d_exp_H2O,[*]CCCCCNC([*])=O,[*]CCCCCNC([*])=O,-9.657577319,2.20000000090064e-10,0.0,296.0,H2O,polyVERSE_2025_06_23
d_exp_H2O,[*]CCCCCNC([*])=O,[*]CCCCCNC([*])=O,-9.022276395,9.49999999368157e-10,0.0,298.0,H2O,polyVERSE_2025_06_23
d_exp_H2O,[*]CCCCCNC([*])=O,[*]CCCCCNC([*])=O,-8.769551079,1.69999999851928e-09,0.0,308.0,H2O,polyVERSE_2025_06_23
d_exp_H2O,[*]OC1C(CO)OC([*])C(O)C1O,[*]OC1C(CO)OC([*])C(O)C1O,-11.0,1e-11,0.0,288.0,H2O,polyVERSE_2025_06_23
d_exp_H2O,[*]OC1C(CO)OC([*])C(O)C1O,[*]OC1C(CO)OC([*])C(O)C1O,-8.886056648,1.29999999908152e-09,0.065,301.0,H2O,polyVERSE_2025_06_23
d_exp_H2O,[*]OC1C(CO)OC([*])C(O)C1O,[*]OC1C(CO)OC([*])C(O)C1O,-8.522878745,3.0000000019365e-09,0.205,278.0,H2O,polyVERSE_2025_06_23
d_exp_H2O,[*]OCCOC(=O)c1ccc(C([*])=O)cc1,[*]OCCOC(=O)c1ccc(C([*])=O)cc1,-8.399027104,3.99000000287794e-09,0.191709624,298.0,H2O,polyVERSE_2025_06_23
