,Index,Polymer Canonical SMILES,Solvent Canonical SMILES,Temperature,Weight Fraction of Solvent,Experimental Selector,Simulated Selector,Target Diffusivity Value(log10),source
0,0,[*]CC=C(C)C[*],Brc1ccccc1,298,0.715091455,1,0,-6.2232988,ncomm(2023)
1,1,[*]CC=C(C)C[*],C1CCCCC1,298,0.858049705,1,0,-5.649752,ncomm(2023)
2,2,[*]CC=C(C)C[*],C=CCCC,298,0.187982106,1,0,-6.8124793,ncomm(2023)
3,3,[*]CC=C(C)C[*],CC(=O)CC(C)C,298,0.346490721,1,0,-6.5030704,ncomm(2023)
4,4,[*]CC=C(C)C[*],CC(=O)OCCC(C)C,298,0.467177361,1,0,-6.5654311,ncomm(2023)
5,5,[*]CC=C(C)C[*],CC(C)(C)O,303,0.664387943,1,0,-6.8827287,ncomm(2023)
6,6,[*]CC=C(C)C[*],CC(C)=O,298,0.331017419,1,0,-6.4784329,ncomm(2023)
7,7,[*]CC=C(C)C[*],CC(C)CC(C)(C)C,298,0.341862616,1,0,-6.3872161,ncomm(2023)
8,8,[*]CC=C(C)C[*],CC(C)O,298,0.498548781,1,0,-7.8041003,ncomm(2023)
9,9,[*]CC=C(C)C[*],CCC(C)(C)O,298,0.602870903,1,0,-6.7520267,ncomm(2023)
10,10,[*]CC=C(C)C[*],CCC(C)=O,298,0.304687537,1,0,-6.0635724,ncomm(2023)
11,11,[*]CC=C(C)C[*],CCC(CC)CO,298,0.53217334,1,0,-7.0990869,ncomm(2023)
12,12,[*]CC=C(C)C[*],CCCC=O,298,0.310240762,1,0,-7.60206,ncomm(2023)
13,13,[*]CC=C(C)C[*],CCCCC,308,0.002394284,1,0,-6.9956786,ncomm(2023)
14,14,[*]CC=C(C)C[*],CCCCC,298,0.471821757,1,0,-6.8068754,ncomm(2023)
15,15,[*]CC=C(C)C[*],CCCCCC,298,0.475334776,1,0,-6.0504747,ncomm(2023)
16,16,[*]CC=C(C)C[*],CCCCCCC,298,0.479367776,1,0,-5.7637681,ncomm(2023)
17,17,[*]CC=C(C)C[*],CCCCCCCC,298,0.478744404,1,0,-6.1662156,ncomm(2023)
18,18,[*]CC=C(C)C[*],CCCCCCCCC,298,0.472126978,1,0,-6.3555614,ncomm(2023)
19,19,[*]CC=C(C)C[*],CCCCCCCCCC,298,0.461603329,1,0,-6.4881166,ncomm(2023)
20,20,[*]CC=C(C)C[*],CCCCCCCCCCCC,298,0.429225976,1,0,-6.6861328,ncomm(2023)
21,21,[*]CC=C(C)C[*],CCCCCCCCCCCCCC,298,0.3913332,1,0,-6.8356471,ncomm(2023)
22,22,[*]CC=C(C)C[*],CCCCCCCCCCCCCCCC,298,0.354025978,1,0,-7.0757207,ncomm(2023)
23,23,[*]CC=C(C)C[*],CCCCCO,298,0.465845594,1,0,-7.2596373,ncomm(2023)
24,24,[*]CC=C(C)C[*],CCCCO,298,0.433576284,1,0,-7.3685562,ncomm(2023)
25,25,[*]CC=C(C)C[*],CCCCOC(C)=O,298,0.404673221,1,0,-6.3767507,ncomm(2023)
26,26,[*]CC=C(C)C[*],CCCO,298,0.401278571,1,0,-7.4775558,ncomm(2023)
27,27,[*]CC=C(C)C[*],CCCOC(C)=O,298,0.3713945,1,0,-5.9693944,ncomm(2023)
28,28,[*]CC=C(C)C[*],CCO,298,0.381511056,1,0,-7.838632,ncomm(2023)
29,29,[*]CC=C(C)C[*],CCOC(=O)CC(C)=O,298,0.074462479,1,0,-6.9469216,ncomm(2023)
30,30,[*]CC=C(C)C[*],CCOC(=O)OCC,298,0.407187543,1,0,-6.0685421,ncomm(2023)
31,31,[*]CC=C(C)C[*],CCOC(C)=O,298,0.309580074,1,0,-6.0570933,npj(2025)
32,32,[*]CC=C(C)C[*],CCc1ccccc1,303,0.376696996,1,0,-6.4532892,ncomm(2023)
33,33,[*]CC=C(C)C[*],CO,298,0.265449259,1,0,-7.838632,ncomm(2023)
