Polymer Canonical SMILES,Solvent Canonical SMILES,Activities,Uptake Sorption(log10),liquid_density_solvent,MW_rdkit,log10MV
CC(=CC[*])C[*],Brc1ccccc1,1,1.25139485,1.487,157.01,2.023616345
CC(=CC[*])C[*],CC(=O)OCCC(C)C,1,0.785329835,0.876,130.187,2.172063513
CC(=CC[*])C[*],CC(C)CC(C)(C)C,1,0.749621011,0.69,114.232,2.21893869
CC(=CC[*])C[*],CCCCCCCCCCCC,1,0.610447221,0.745,170.34,2.35916037
CC(=CC[*])C[*],CCCCCCCCCCCCCC,1,0.530071569,0.758,198.394,2.417859328
CC(=CC[*])C[*],CCCCCCCCCCCCCCCC,1,0.44963265,0.77,226.448,2.468477764
CC(=CC[*])C[*],CCCCOC(C)=O,1,0.823474229,0.876,116.16,2.122552497
CC(=CC[*])C[*],CCCOC(C)=O,1,0.786751422,0.883,102.133,2.063205385
CC(=CC[*])C[*],CCOC(=O)CC(C)=O,1,-0.408935393,1.021,130.143,2.105395072
CC(=CC[*])C[*],CCOC(C)=O,1,0.664641976,0.894,88.106,1.993667966
CC(=CC[*])C[*],COC(=O)CC(C)=O,1,-0.769551079,1.072,116.116,2.034697281
CC(=CC[*])C[*],COC(=O)c1ccccc1O,1,0.725094521,1.175,152.149,2.112231236
CC(=CC[*])C[*],COC(C)=O,1,0.350248018,0.927,74.079,1.902615377
CC(=CC[*])C[*],Cc1cc(C)cc(C)c1,1,0.068185862,0.861,120.195,2.14488325
CC(=CC[*])C[*],Cc1ccc(C)cc1,1,0.176091259,0.858,106.168,2.092506348
CC(=CC[*])C[*],Cc1ccccc1,1,0.206825876,0.865,92.141,2.027436814
CC(=CC[*])C[*],Clc1ccccc1,1,1.272537777,1.101,112.559,2.009592907
CC(=CC[*])C[*],Fc1ccccc1,1,1.217483944,1.019,96.104,1.97456728
CC(=CC[*])C[*],Nc1ccccc1,1,-0.107905397,1.018,93.129,1.961337162
CC(=CC[*])C[*],O=[N+]([O-])c1ccccc1,1,0.715167358,1.2,123.111,2.011115613
CC(=CC[*])C[*],c1ccccc1,0.01099,-1.209451755,0.873,78.114,1.951714634
CC(=CC[*])C[*],c1ccccc1,0.02765,-0.986521609,0.873,78.114,1.951714634
CC(=CC[*])C[*],c1ccccc1,0.04362,-0.773126896,0.873,78.114,1.951714634
CC(=CC[*])C[*],c1ccccc1,0.08389,-0.478202177,0.873,78.114,1.951714634
CC(=CC[*])C[*],c1ccccc1,0.12231,-0.328728635,0.873,78.114,1.951714634
CC(=CC[*])C[*],c1ccccc1,0.16188,-0.224811634,0.873,78.114,1.951714634
CC(=CC[*])C[*],c1ccccc1,0.19613,-0.133699836,0.873,78.114,1.951714634
CC(=CC[*])C[*],c1ccccc1,0.35373,0.167319107,0.873,78.114,1.951714634
CC(=CC[*])C[*],c1ccccc1,0.47846,0.360950215,0.873,78.114,1.951714634
CC(=CC[*])C[*],c1ccccc1,0.59163,0.510530412,0.873,78.114,1.951714634
CC(=CC[*])C[*],c1ccccc1,0.68373,0.646383684,0.873,78.114,1.951714634
CC(=CC[*])C[*],c1ccccc1,0.75061,0.759361846,0.873,78.114,1.951714634
CC(=CC[*])C[*],c1ccccc1,0.80777,0.849724889,0.873,78.114,1.951714634
CC(=CC[*])C[*],c1ccccc1,0.84712,0.947305706,0.873,78.114,1.951714634
CC(=CC[*])C[*],c1ccccc1,0.93089,1.209874064,0.873,78.114,1.951714634
CC(=CC[*])C[*],c1ccccc1,0.95264,1.294737041,0.873,78.114,1.951714634
CC(=CC[*])C[*],c1ccccc1,0.96676,1.39715835,0.873,78.114,1.951714634
CC(=CC[*])C[*],c1ccccc1,0.9744,1.502846949,0.873,78.114,1.951714634
CC(=CC[*])C[*],c1ccccc1,0.9818,1.578113243,0.873,78.114,1.951714634
CC(=CC[*])C[*],c1ccccc1,0.98365,1.685822256,0.873,78.114,1.951714634
CC(=CC[*])C[*],c1ccccc1,0.99106,1.895690637,0.873,78.114,1.951714634
CC(=CC[*])C[*],c1ccccc1,0.99199,1.790741959,0.873,78.114,1.951714634
CC(=CC[*])C[*],c1ccccc1,0.99361,2.215456612,0.873,78.114,1.951714634
CC(=CC[*])C[*],c1ccccc1,0.99523,2.24165471,0.873,78.114,1.951714634
CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC#N,0.06,0.159741532,0.782,41.053,1.720138146
CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC#N,0.1,0.159741532,0.782,41.053,1.720138146
CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC#N,0.15,0.159741532,0.782,41.053,1.720138146
CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC#N,0.2,0.16628333,0.782,41.053,1.720138146
CC(=O)OC1OC(OC2C(OC(C)=O)OC(O[*])C(OC(C)=O)C2O)C(OC(C)=O)C(O)C1[*],CC#N,0.25,0.153842705,0.782,41.053,1.720138146
CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.1387036,0.749743953,0.784,58.08,1.869710545
CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.30138051,0.919045857,0.784,58.08,1.869710545
CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.402931521,1.024732518,0.784,58.08,1.869710545
CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.548300543,1.176021673,0.784,58.08,1.869710545
CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.63607286,1.267368504,0.784,58.08,1.869710545
CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.740561649,1.376112584,0.784,58.08,1.869710545
CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.893598485,1.535381823,0.784,58.08,1.869710545
CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CC(C)=O,0.969900219,1.614790933,0.784,58.08,1.869710545
CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CO,0.024730303,0.526734525,0.787,32.042,1.609744884
CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CO,0.148286141,0.875530835,0.787,32.042,1.609744884
CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CO,0.298697198,1.110900843,0.787,32.042,1.609744884
CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CO,0.43712943,1.26269728,0.787,32.042,1.609744884
CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CO,0.584870499,1.392248372,0.787,32.042,1.609744884
CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CO,0.789478612,1.544269038,0.787,32.042,1.609744884
CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CO,0.896077389,1.618548064,0.787,32.042,1.609744884
CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CO,0.957411019,1.661833534,0.787,32.042,1.609744884
CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],CO,0.999787094,1.69279064,0.787,32.042,1.609744884
CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],COC(=O)OC,0.246574238,0.666170268,1.069,90.078,1.92564103
CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],COC(=O)OC,0.26691006,0.690581124,1.069,90.078,1.92564103
CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],COC(=O)OC,0.337432345,0.768811187,1.069,90.078,1.92564103
CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],COC(=O)OC,0.373516314,0.805743247,1.069,90.078,1.92564103
CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],COC(=O)OC,0.496833223,0.921397557,1.069,90.078,1.92564103
CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],COC(=O)OC,0.519946562,0.941836119,1.069,90.078,1.92564103
CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],COC(=O)OC,0.653919603,1.057937341,1.069,90.078,1.92564103
CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],COC(=O)OC,0.756051356,1.152654524,1.069,90.078,1.92564103
CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],COC(=O)OC,0.811529203,1.217233461,1.069,90.078,1.92564103
CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],COC(=O)OC,0.847539828,1.301139597,1.069,90.078,1.92564103
CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],COC(C)=O,0.294192387,0.822934596,0.927,74.079,1.902615377
CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],COC(C)=O,0.36908307,0.900670435,0.927,74.079,1.902615377
CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],COC(C)=O,0.637473395,1.141163458,0.927,74.079,1.902615377
CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],COC(C)=O,0.798589206,1.46748815,0.927,74.079,1.902615377
CC(=O)OCC1OC([*])C(OC(C)=O)C(OC(C)=O)C1O[*],COC(C)=O,0.833206683,1.388645718,0.927,74.079,1.902615377
CC(C)(C1=CC=C(OC2=CC=C3C(=O)N([*])C(=O)C3=C2)C=C1)C1=CC=C(OC2=CC=C3C(=O)N(C4=CC=CC([*])=C4)C(=O)C3=C2)C=C1,CC(C)=O,1,0.541324762,0.784,58.08,1.869710545
CC(C)(C1=CC=C(OC2=CC=C3C(=O)N([*])C(=O)C3=C2)C=C1)C1=CC=C(OC2=CC=C3C(=O)N(C4=CC=CC([*])=C4)C(=O)C3=C2)C=C1,ClCCl,0.10045,-0.154508394,1.318,84.933,1.809161054
CC(C)(C1=CC=C(OC2=CC=C3C(=O)N([*])C(=O)C3=C2)C=C1)C1=CC=C(OC2=CC=C3C(=O)N(C4=CC=CC([*])=C4)C(=O)C3=C2)C=C1,ClCCl,0.13083,-0.060434316,1.318,84.933,1.809161054
CC(C)(C1=CC=C(OC2=CC=C3C(=O)N([*])C(=O)C3=C2)C=C1)C1=CC=C(OC2=CC=C3C(=O)N(C4=CC=CC([*])=C4)C(=O)C3=C2)C=C1,ClCCl,0.14155349,-0.012656135,1.318,84.933,1.809161054
CC(C)(C1=CC=C(OC2=CC=C3C(=O)N([*])C(=O)C3=C2)C=C1)C1=CC=C(OC2=CC=C3C(=O)N(C4=CC=CC([*])=C4)C(=O)C3=C2)C=C1,ClCCl,0.17315,0.018549025,1.318,84.933,1.809161054
CC(C)(C1=CC=C(OC2=CC=C3C(=O)N([*])C(=O)C3=C2)C=C1)C1=CC=C(OC2=CC=C3C(=O)N(C4=CC=CC([*])=C4)C(=O)C3=C2)C=C1,ClCCl,0.177608683,0.066692937,1.318,84.933,1.809161054
CC(C)(C1=CC=C(OC2=CC=C3C(=O)N([*])C(=O)C3=C2)C=C1)C1=CC=C(OC2=CC=C3C(=O)N(C4=CC=CC([*])=C4)C(=O)C3=C2)C=C1,ClCCl,0.20162,0.109786258,1.318,84.933,1.809161054
CC(C)(C1=CC=C(OC2=CC=C3C(=O)N([*])C(=O)C3=C2)C=C1)C1=CC=C(OC2=CC=C3C(=O)N(C4=CC=CC([*])=C4)C(=O)C3=C2)C=C1,ClCCl,0.25183,0.248589345,1.318,84.933,1.809161054
CC(C)(C1=CC=C(OC2=CC=C3C(=O)N([*])C(=O)C3=C2)C=C1)C1=CC=C(OC2=CC=C3C(=O)N(C4=CC=CC([*])=C4)C(=O)C3=C2)C=C1,ClCCl,0.26775293,0.210239147,1.318,84.933,1.809161054
CC(C)(C1=CC=C(OC2=CC=C3C(=O)N([*])C(=O)C3=C2)C=C1)C1=CC=C(OC2=CC=C3C(=O)N(C4=CC=CC([*])=C4)C(=O)C3=C2)C=C1,ClCCl,0.28510005,0.23219185,1.318,84.933,1.809161054
CC(C)(C1=CC=C(OC2=CC=C3C(=O)N([*])C(=O)C3=C2)C=C1)C1=CC=C(OC2=CC=C3C(=O)N(C4=CC=CC([*])=C4)C(=O)C3=C2)C=C1,ClCCl,0.287595208,0.235239078,1.318,84.933,1.809161054
CC(C)(C1=CC=C(OC2=CC=C3C(=O)N([*])C(=O)C3=C2)C=C1)C1=CC=C(OC2=CC=C3C(=O)N(C4=CC=CC([*])=C4)C(=O)C3=C2)C=C1,ClCCl,0.3019,0.222296773,1.318,84.933,1.809161054
CC(C)(C1=CC=C(OC2=CC=C3C(=O)N([*])C(=O)C3=C2)C=C1)C1=CC=C(OC2=CC=C3C(=O)N(C4=CC=CC([*])=C4)C(=O)C3=C2)C=C1,ClCCl,0.308214239,0.259452825,1.318,84.933,1.809161054
CC(C)(C1=CC=C(OC2=CC=C3C(=O)N([*])C(=O)C3=C2)C=C1)C1=CC=C(OC2=CC=C3C(=O)N(C4=CC=CC([*])=C4)C(=O)C3=C2)C=C1,ClCCl,0.35249,0.19345849,1.318,84.933,1.809161054
CC(C)(C1=CC=C(OC2=CC=C3C(=O)N([*])C(=O)C3=C2)C=C1)C1=CC=C(OC2=CC=C3C(=O)N(C4=CC=CC([*])=C4)C(=O)C3=C2)C=C1,ClCCl,0.374290715,0.327378065,1.318,84.933,1.809161054
CC(C)(C1=CC=C(OC2=CC=C3C(=O)N([*])C(=O)C3=C2)C=C1)C1=CC=C(OC2=CC=C3C(=O)N(C4=CC=CC([*])=C4)C(=O)C3=C2)C=C1,ClCCl,0.40358,0.239234781,1.318,84.933,1.809161054
CC(C)(C1=CC=C(OC2=CC=C3C(=O)N([*])C(=O)C3=C2)C=C1)C1=CC=C(OC2=CC=C3C(=O)N(C4=CC=CC([*])=C4)C(=O)C3=C2)C=C1,ClCCl,0.427569713,0.373917948,1.318,84.933,1.809161054
CC(C)(C1=CC=C(OC2=CC=C3C(=O)N([*])C(=O)C3=C2)C=C1)C1=CC=C(OC2=CC=C3C(=O)N(C4=CC=CC([*])=C4)C(=O)C3=C2)C=C1,ClCCl,0.45697,0.316951188,1.318,84.933,1.809161054
CC(C)(C1=CC=C(OC2=CC=C3C(=O)N([*])C(=O)C3=C2)C=C1)C1=CC=C(OC2=CC=C3C(=O)N(C4=CC=CC([*])=C4)C(=O)C3=C2)C=C1,ClCCl,0.50438,0.358298475,1.318,84.933,1.809161054
CC(C)(C1=CC=C(OC2=CC=C3C(=O)N([*])C(=O)C3=C2)C=C1)C1=CC=C(OC2=CC=C3C(=O)N(C4=CC=CC([*])=C4)C(=O)C3=C2)C=C1,ClCCl,0.517217323,0.440482187,1.318,84.933,1.809161054
CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.05952,-0.43689919,0.782,41.053,1.720138146
CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.062844748,-0.392943529,0.782,41.053,1.720138146
CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.06571,-0.406103634,0.782,41.053,1.720138146
CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.065825862,-0.379302344,0.782,41.053,1.720138146
CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.087644375,-0.295041081,0.782,41.053,1.720138146
CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.09124,-0.303935319,0.782,41.053,1.720138146
CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.120766638,-0.200684641,0.782,41.053,1.720138146
CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.126879146,-0.186151759,0.782,41.053,1.720138146
CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.12896,-0.196236991,0.782,41.053,1.720138146
CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.13631,-0.178984092,0.782,41.053,1.720138146
CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.169429384,-0.101029098,0.782,41.053,1.720138146
CC(C)(C1=CC=C(O[*])C=C1)C1=CC=C(OC(=O)[*])C=C1,CC#N,0.18408,-0.085469873,0.782,41.053,1.720138146
