smiles_string,d_exp_CH4,d_exp_CO2,d_exp_H2,d_exp_He,d_exp_N2,d_exp_O2,d_sim_CH4,d_sim_CO2,d_sim_N2,d_sim_O2,p_exp_CH4,p_exp_CO2,p_exp_H2,p_exp_He,p_exp_N2,p_exp_O2,p_sim_CH4,p_sim_CO2,p_sim_N2,p_sim_O2,s_exp_CH4,s_exp_CO2,s_exp_H2,s_exp_He,s_exp_N2,s_exp_O2,s_sim_CH4,s_sim_CO2,s_sim_N2,s_sim_O2
C%12%13=C(C1=C%11C(=CC2=C1C=CC=C2)OC%10=C(C(C#N)=C9OC3=C(C=C4C(=C3)C5(CC4(C)C)CC(C)(C)C6=C5C=C8C(=C6)OC7=C(C(C#N)=C([g])C([t])=C7C#N)O8)OC9=C%10C#N)O%11)C(O[e])=C(O[d])C=C%12C=CC=C%13,,,,,,,,,,,,-6.580044252,-6.829738285,,-7.879426069,-7.282329497,,,,,,,,,,,,,,
C%12%13=C(C1=CC=CC2=C1C=C4C(=C2)OC3=CC6=C(C=C3O4)S(=O)(=O)C5=CC8=C(C=C5S6(=O)=O)OC7=CC%11=C(C=C7O8)C%10(C9=CC(O[e])=C(O[d])C=C9C(C)(C)C%10)CC%11(C)C)C=CC=C%12C=C%15C(=C%13)OC%14=C(C(C#N)=C([t])C([g])=C%14C#N)O%15,,,,,,,,,,,,-6.512861625,-6.769551079,,-7.764471553,-7.2069084,,,,,,,,,,,,,,
C1%10=C(C(S(=O)(=O)CC)=C3C(=C1S(=O)(=O)CC)OC2=CC4=C(C=C2O3)C(C)(C)CC45CC(C)(C)C6=C5C=C8C(=C6)OC7=C(C(C#N)=C([g])C([t])=C7C#N)O8)OC9=CC%13=C(C=C9O%10)C%12(C%11=CC(O[e])=C(O[d])C=C%11C(C)(C)C%12)CC%13(C)C,,,,,,,,,,,,-6.66756154,,,-8.031517051,-7.432973634,,,,,,,,,,,,,,
C1%12=C(C=C%10C(=C1)S(=O)(=O)C2=C(C=C9C(=C2)OC3=C(C=C4C(=C3)C5(CC4(C)C)CC(C)(C)C6=C5C=C8C(=C6)OC7=C(C(C#N)=C([g])C([t])=C7C#N)O8)O9)S%10(=O)=O)OC%11=CC%15=C(C=C%11O%12)C%14(C%13=CC(O[e])=C(O[d])C=C%13C(C)(C)C%14)CC%15(C)C,,,,,,,,,,,,-6.322393047,-6.581698709,,-7.384049948,-6.920818754,,,,,,,,,,,,,,
C1(O[d])=CC3=C(C=C1O[e])C4(C)C2=CC8=C(C=C2C3(C)C5=CC6=C(C=C45)C(C(F)(F)F)=CC(C(F)(F)F)=C6)OC7=C(C#N)C([g])=C([t])C(C#N)=C7O8,,,,,,,,,,,-6.36251027,-5.370590401,-5.832682665,-6.232102384,-6.522878745,-6.109578981,,,,,,,,,,,,,,
C1(O[d])=CC3=C(C=C1O[e])C4(C)C2=CC8=C(C=C2C3(C)C5=CC6=C(C=C45)C=C(C)C(C)=C6)OC7=C(C#N)C([g])=C([t])C(C#N)=C7O8,,,,,,,,,,,-6.804100348,-5.657577319,-5.943095149,-6.397940009,-6.991399828,-6.403402904,,,,,,,,,,,,,,
C1(O[d])=CC3=C(C=C1O[e])C4(C)C2=CC8=C(C=C2C3(C)C5=CC6=C(C=C45)C=CC(C(F)(F)F)=C6)OC7=C(C#N)C([g])=C([t])C(C#N)=C7O8,,,,,,,,,,,-6.642065153,-5.472370099,-5.866461092,-6.288192771,-6.73754891,-6.2069084,,,,,,,,,,,,,,
C1(O[d])=CC3=C(C=C1O[e])C4(C)C2=CC8=C(C=C2C3(C)C5=CC6=C(C=C45)C=CC=C6)OC7=C(C#N)C([g])=C([t])C(C#N)=C7O8,,,,,,,,,,,-6.772113295,-5.66756154,-5.91721463,-6.342944147,-6.924453039,-6.363512104,,,,,,,,,,,,,,
C1(O[d])=CC3=C(C=C1O[e])C4(C)C2=CC9=C(C=C2C3(C)C5=CC6=C(C=C45)C=C7C(=C6)C(C)(C)C(C)(C)C7(C)C)OC8=C(C#N)C([g])=C([t])C(C#N)=C8O9,,,,,,,,,,,-6.312471039,-5.354577731,-5.779891912,-6.244125144,-6.591760035,-6.068542129,,,,,,,,,,,,,,
C1([d])=C(C#N)C2=C(C(C#N)=C1[e])OC3=C(O2)C=C4C(=C3)OC6(CC4(C)C)CC(C)(C)C5=CC8=C(C=C5O6)OC7=C(C#N)C9=C(C(C#N)=C7O8)OC%10=C(O9)C=C%11C(=C%10)C%13(C(C)C%11(CC)C)C%12=CC(O[g])=C(O[t])C=C%12CC%13(C)CC,,,,,,,,,,,-7.585026652,-6.468521083,-6.886056648,-7.207608311,-7.823908741,-7.337242168,,,,,,,,,,,,,,
C1([d])=C(C#N)C2=C(C(C#N)=C1[e])OC3=C(O2)C=C4C(=C3)OC6(CC4(C)C)CC(C)(C)C5=CC8=C(C=C5O6)OC7=C(C#N)C9=C(C(C#N)=C7O8)OC%10=C(O9)C=C%11C(=C%10)C%13(CC%11(C)C)C%12=CC(O[g])=C(O[t])C=C%12CC%13(C)C,,,,,,,,,,,-7.366531544,-6.27572413,-6.66756154,-7.022276395,-7.585026652,-7.102372909,,,,,,,,,,,,,,
C12=C(C=C([e])C([d])=C1)N=C3C(=N2)C=C5C(=C3)C6(C(C)C)C4=C(C=C(O[t])C(O[g])=C4)C5(C(C)C)C7=C6C=CC=C7,,,,,,,,,,,,,-6.366531544,,-7.518557371,-6.91721463,,,,,,,,,,,,,,
C12=C(C=C([e])C([d])=C1)N=C3C(=N2)C=C5C(=C3)C6(CCC)C4=C(C=C(O[t])C(O[g])=C4)C5(CCC)C7=C6C=CC=C7,,,,,,,,,,,,,-6.995678626,,-7.931814138,-7.2915791,,,,,,,,,,,,,,
C12=CC(O[e])=C(O[d])C=C1C(C)(C)CC23CC(C)(C)C4=C3C=C5C(=C4)OC6=C(O5)C(/C(N)=N/O)=C([t])C([g])=C6/C(N)=N/O,,,,,,,,,,,-8.468521083,-6.93930216,-7.040005162,-7.385102784,-8.48148606,-7.832682665,,,,,,,,,,,,,,
C12=CC(O[e])=C(O[d])C=C1C(C)(C)CC23CC(C)(C)C4=C3C=C5C(=C4)OC6=C(O5)C(CN)=C([t])C([g])=C6CN,,,,,,,,,,,-7.518557371,-6.723538196,-6.512861625,-6.920818754,-7.638272164,-7.048176965,,,,,,,,,,,,,,
C12=CC(O[e])=C(O[d])C=C1C(C)(C)CC23CC(C)(C)C4=C3C=C5C(=C4)OC6=C(O5)C=C%13C(=C6)C(=O)N(C%11=C%12C(=C(C9=CC(C)=C(N7C(=O)C8=C(C7=O)C=C([g])C([t])=C8)C%10=C9C=CC=C%10)C=C%11C)C=CC=C%12)C%13=O,,,,,,,,,,,-7.769551079,-6.643974143,-6.991399828,-7.37161107,-8.0,-7.494850022,,,,,,,,,,,,,,
C12=CC(O[e])=C(O[d])C=C1C(C)(C)CC23CC(C)(C)C4=C3C=C5C(=C4)OC7=C(O5)C(C6=NN=NN6)=C([t])C([g])=C7C8=NN=NN8,,,,,,,,,,,,-6.591760035,,,-8.050609993,,,,,,,,,,,,,,,
C12=CC(O[e])=C(O[d])C=C1C(C)(C)CC23CC(C)(C)C4=C3C=C8C(=C4)OC7=CC6=NC5=CC9=C(C=C5N=C6C=C7O8)C%10(CC9(C)C)CC(C)(C)C%11=C%10C=C%12C(=C%11)N=C%13C(=N%12)C=C([g])C([t])=C%13,,,,,,,,,,,-8.207608311,-6.958607315,-7.065501549,-7.356547324,-8.37675071,-7.721246399,,,,,,,,,,,,,,
C12=CC([d])=C([e])C=C1C3(C)C4=C(C2(C)CC3)C=C5C(=C4)N(C[t])CN([g])C5,-6.443697499,-6.060480747,,,-6.002176919,-5.49757288,,,,,-7.155522824,-6.146301788,-6.110138279,-6.590066877,-7.279840697,-6.66756154,,,,,-0.711825324,-0.085821041,,,-1.277663778,-1.169988659,,,,
C12=CC4=C(C=C1CC3=C(C2)C(C#N)=C([g])C([t])=C3C#N)C5(C(C)C4(CC)C)C6=C(C(C)(CC)C5)C=C(O[d])C(O[e])=C6,,,,,,,,,,,-7.236572006,-6.214670165,-6.677780705,-7.055517328,-7.494850022,-7.086186148,,,,,,,,,,,,,,
C12=CC4=C(C=C1OC3=C(O2)C(C#N)=C([d])C([e])=C3C#N)C5(CC4(C)C)C6=C(C(C)(C)C5)C=C(O[g])C(O[t])=C6,,,,,,,,,,,-6.866461092,-5.866461092,-6.300162274,-6.709965389,-7.084600165,-6.643974143,,,,,,,,,,,,,,
C13(CC(C)(C)C2=C1C=C([d])C([e])=C2)C4=C(C(C)(C)C3)C=C5C(=C4)N(C[t])CN([g])C5,,,,,,,,,,,-7.346787486,-6.537602002,-6.657577319,-7.056505484,-7.634512015,-7.142667504,,,,,,,,,,,,,,
C13=CC(O[d])=C(O[e])C=C1C2=CC%10=C(C=C2C35C4=CC9=C(C=C4C6=C5C=C8C(=C6)OC7=C(C#N)C([g])=C([t])C(C#N)=C7O8)C(C)(C)CCC9(C)C)C(C)(C)CCC%10(C)C,,,,,,,,,,,-6.677780705,-5.756961951,-6.14327111,-6.565431096,-6.966576245,-6.494850022,,,,,,,,,,,,,,
C13=CC(O[d])=C(O[e])C=C1C4(C)C2=CC9=C(C=C2C3(C)C5=CC6=C(C=C45)C=C7C(=C6)C(C)(C)CCC7(C)C)OC8=C(C#N)C([g])=C([t])C(C#N)=C8O9,,,,,,,,,,,-6.465973894,-5.477555766,-5.772113295,-6.195860568,-6.651695137,-6.126679398,,,,,,,,,,,,,,
C14=C(C=C([e])C([d])=C1)C5C2=C(C=C3C(=C2)N([g])CN3C[t])C4C6=C5C=C7C(=C6)C=CC=C7,,,,,,,,,,,-6.841637508,-5.879426069,-6.000869459,-6.53313238,-7.033389013,-6.482804102,,,,,,,,,,,,,,
C14=C(C=C([e])C([d])=C1)C5C2=C(C=C3C(=C2)N([g])CN3C[t])C4C6=C5C=CC=C6,,,,,,,,,,,-7.043351421,-6.01278077,-6.094743951,-6.602059991,-7.201349355,-6.565431096,,,,,,,,,,,,,,
C16=C(C4(C2=C1C=CC=C2)C3=CC(O[d])=C(O[e])C=C3C5=CC=CC=C45)C=C7C(=C6)OC8=C(O7)C(C#N)=C(O[t])C(O[g])=C8C#N,,,,,,,,,,,-6.958607315,-5.8569852,-6.199282922,-6.657577319,-7.104577454,-6.578396073,,,,,,,,,,,,,,
C2%13=C(C=C1OC3=C(OC1=C2)C(C#N)=C([d])C([e])=C3C#N)C(C)(C)CC%12(CC(C)(C)C%11=CC%10=C(OC9=C(C#N)C5=C(OC4=CC7=C(C=C4O5)C8(C)C6=CC(O[t])=C(O[g])C=C6C7(C)CC8)C(C#N)=C9O%10)C=C%11O%12)O%13,,,,,,,,,,,-7.455931956,-6.26760624,-6.677780705,-7.060480747,-7.619788758,-7.119186408,,,,,,,,,,,,,,
C2%13=C(C=C1OC3=C(OC1=C2)C(C#N)=C([d])C([e])=C3C#N)C(C)(C)CC%12(CC(C)(C)C%11=CC%10=C(OC9=C(C#N)C8=C(OC4=C(C(Br)=C5C(=C4)C(C)(C)CC56CC(C)(C)C7=C6C=C(O[g])C(O[t])=C7Br)O8)C(C#N)=C9O%10)C=C%11O%12)O%13,,,,,,,,,,,-7.552841969,-6.420216403,-6.823908741,-7.187086643,-7.769551079,-7.283996656,,,,,,,,,,,,,,
C2%13=C(C=C1OC3=C(OC1=C2)C(C#N)=C([d])C([e])=C3C#N)C(C)(C)CC%12(CC(C)(C)C%11=CC%10=C(OC9=C(C#N)C8=C(OC4=C(C=C5C(=C4)C(C)(C)CC56CC(C)(C)C7=C6C=C(O[g])C(O[t])=C7)O8)C(C#N)=C9O%10)C=C%11O%12)O%13,,,,,,,,,,,-7.431798276,-6.337242168,-6.769551079,-7.113509275,-7.677780705,-7.200659451,,,,,,,,,,,,,,
C23=NC1=CC4=C(C=C1N=C2C=C([e])C([d])=C3)C(C)(C)CC47CC(C)(C)C6=CC5=NC8=C(N=C5C=C67)C=C9C(=C8)OC%14=C(O9)C=C(C%11(C%10=CC=C(O[g])C(O[t])=C%10)C%13=C(C%12=C%11C=CC=C%12)C=CC=C%13)C=C%14,,,,,,,,,,,-8.657577319,-7.366531544,-7.494850022,-7.769551079,-8.886056648,-8.229147988,,,,,,,,,,,,,,
C2=C1C(C)(C)CC3(C1=CC(O[d])=C2O[e])CC(C)(C)C4=C3C=C5C(=C4)OC6=C(O5)C(C#N)=C(O[t])C(O[g])=C6C#N,,,,,,,,,,,,-6.54668166,,,-7.801342913,-7.251037139,,,,,,,,,,,,,,
C2=C1C(C)(C)CC3(C1=CC(O[d])=C2O[e])CC(C)(C)C4=C3C=C5C(=C4)OC6=C(O5)C(C(F)(F)F)=C(O[t])C(O[g])=C6S(=O)(=O)C7=CC=CC=C7,,,,,,,,,,,,-7.136082623,,,-8.48148606,-7.806875402,,,,,,,,,,,,,,
C2=C1C(C)(C)CC3(C1=CC(O[d])=C2O[e])CC(C)(C)C4=C3C=C8C(=C4)OC6=C(C(C5=NN=NN5C)=C(O[t])C(O[g])=C6C7=NN(C)N=N7)O8,,,,,,,,,,,,-6.8569852,,,-8.200659451,-7.568636236,,,,,,,,,,,,,,
C2C6(OC1=CC3=C(C=C1C2(C)C)OC4=C(O3)C(C#N)=C([e])C([d])=C4C#N)CC(C)(C)C5=CC8=C(C=C5O6)OC7=C(C#N)C9=C(C(C#N)=C7O8)OC%10=C(O9)C=C%11C(=C%10)OC%13(CC%11(C)C)CC(C)(C)C%12=CC%15=C(C=C%12O%13)OC%14=C(C#N)C%16=C(C(C#N)=C%14O%15)OC%17=C(O%16)C=C%18C(=C%17)OC%20(CC%18(C)C)CC(C)(C)C%19=CC%22=C(C=C%19O%20)OC%21=C(C#N)C%23=C(C(C#N)=C%21O%22)OC%24=C(O%23)C=C%25C(=C%24)C%27(CC%25(C)C)C%26=CC(O[g])=C(O[t])C=C%26CC%27(C)C,,,,,,,,,,,-7.744727495,-6.590066877,-6.958607315,-7.283996656,-7.958607315,-7.455931956,,,,,,,,,,,,,,
C6(C4(C1=CC(C)=C2C(=C1)N(C[t])CN2[g])C3CC5CC(C3)CCC4CC5)=C(C)C=C([e])C([d])=C6,-6.995678626,-6.378823718,,,-6.463441557,-5.966576245,,,,,-7.790484985,-6.739928612,-6.744727495,,-7.91721463,-7.359518563,,,,,-0.794806358,-0.361104893,,,-1.453773067,-1.392942318,,,,
C7(C1=C([g])C([t])=C(C#N)C3=C1CC2=CC4=C(C=C2C3)C5(CC4(C)C)C6=C(C(C)(C)C5)C=C(O[e])C(O[d])=C6)=NN=NN7,,,,,,,,,,,,-6.507239611,,,-7.987162775,,,,,,,,,,,,,,,
C9(C7=C(C1=CC=C(Br)C=C1)C(C2=CC=C(Br)C=C2)=C(C3=CC=C5C(=C3)OC4=C(C#N)C([g])=C([t])C(C#N)=C4O5)C(C6=CC=C(Br)C=C6)=C7C8=CC=C(Br)C=C8)=CC(O[d])=C(O[e])C=C9,,,,,,,,,,,-7.752026734,-6.671620397,-7.031517051,-7.406713933,-8.036212173,-7.521433504,,,,,,,,,,,,,,
C9(C7=C(C1=CC=C(C#N)C=C1)C(C2=CC=C(C#N)C=C2)=C(C3=CC=C5C(=C3)OC4=C(C#N)C([g])=C([t])C(C#N)=C4O5)C(C6=CC=C(C#N)C=C6)=C7C8=CC=C(C#N)C=C8)=CC(O[d])=C(O[e])C=C9,,,,,,,,,,,-7.673664139,-6.621602099,-6.920818754,-7.266802735,-7.910094889,-7.413412695,,,,,,,,,,,,,,
C9(C7=C(C1=CC=C(C)C=C1)C(C2=CC=C(C)C=C2)=C(C3=CC=C5C(=C3)OC4=C(C#N)C([g])=C([t])C(C#N)=C4O5)C(C6=CC=C(C)C=C6)=C7C8=CC=C(C)C=C8)=CC(O[d])=C(O[e])C=C9,,,,,,,,,,,-7.638272164,-6.581698709,-6.913640169,-7.238072162,-7.913640169,-7.389339837,,,,,,,,,,,,,,
C9(C7=C(C1=CC=CC=C1)C(C2=CC=CC=C2)=C(C3=CC=C5C(=C3)OC4=C(C#N)C([g])=C([t])C(C#N)=C4O5)C(C6=CC=CC=C6)=C7C8=CC=CC=C8)=CC(O[d])=C(O[e])C=C9,,,,,,,,,,,-7.442492798,-6.420216403,-6.850780887,-7.227678293,-7.721246399,-7.272458743,,,,,,,,,,,,,,
CC6(C)CC4(CC(C)(C)c3cc2oc1c(C#N)c([g])c([t])c(C#N)c1oc2cc34)c5cc(O[d])c(O[e])cc56,,,,,,,,,,,-7.583359493,-6.431798276,-6.690369833,-7.022276395,-7.735182177,-7.177831921,,,,,,,,,,,,,,
Cc3cc2c1cc(O[e])c(O[d])cc1C8(c2cc3C)c4cc(C)c(C)cc4c7cc6oc5c(C#N)c(C[g])c(C[t])c(C#N)c5oc6cc78,,,,,,,,,,,-6.694648631,-5.651695137,-6.038104526,-6.507239611,-6.93930216,-6.417936637,,,,,,,,,,,,,,
Cc3ccc2c1cc(O[e])c(O[d])cc1C8(c2c3)c4cc(C)ccc4c7cc6oc5c(C#N)c(C[g])c(C[t])c(C#N)c5oc6cc78,,,,,,,,,,,-6.779891912,-5.869666232,-6.279840697,-6.698970004,-7.109578981,-6.645891561,,,,,,,,,,,,,,
Cc6cc(C4(c1cc(C)c2c(c1)CN([t])CN2C[g])C3CC5CC(C3)CC4C5)cc([e])c6[d],-7.568636236,-6.987162775,,,-7.040958608,-6.568636236,,,,,-8.728158393,-7.696803943,-7.793174124,,-8.950781977,-8.395773947,,,,,-1.159522159,-0.709641167,,,-1.909823381,-1.827137708,,,,
Cc8cc7c1cc(O[e])c(O[d])cc1C6(c2ccccc2c5cc4oc3c(C#N)c(C[g])c(C[t])c(C#N)c3oc4cc56)c7cc8C,,,,,,,,,,,-7.056505484,-5.962573502,-6.262807357,-6.705533774,-7.334419009,-6.739928612,,,,,,,,,,,,,,
Cc9ccc(c7c(c1ccc(C)cc1)c(c4ccc3oc2c(C#N)c([t])c([g])c(C#N)c2oc3c4)c(c5ccc(C)cc5)c(c6ccc(C)cc6)c7c8ccc(O[d])c(O[e])c8)cc9,,,,,,,,,,,-8.086186148,-7.004364805,-7.300162274,-7.603800653,-8.337242168,-7.812479279,,,,,,,,,,,,,,
N#Cc2c(C[g])c(C[t])c(C#N)c3oc1cc5c(cc1oc23)c4ccccc4C58c6ccccc6c7cc(O[e])c(O[d])cc78,,,,,,,,,,,-7.274088368,-6.053056729,-6.363512104,-6.806875402,-7.468521083,-6.847711656,,,,,,,,,,,,,,
N#Cc8c([g])c([t])c(C#N)c9oc7ccc(c5c(c1ccc(Br)cc1)c(c2ccc(Br)cc2)c(c3ccc(O[d])c(O[e])c3)c(c4ccc(Br)cc4)c5c6ccc(Br)cc6)cc7oc89,,,,,,,,,,,-8.995678626,-7.723538196,-7.812479279,-8.039053804,-9.200659451,-8.517126416,,,,,,,,,,,,,,
N#Cc8c([g])c([t])c(C#N)c9oc7ccc(c5c(c1ccccc1)c(c2ccccc2)c(c3ccc(O[d])c(O[e])c3)c(c4ccccc4)c5c6ccccc6)cc7oc89,,,,,,,,,,,-7.906578315,-6.785156152,-7.17327748,-7.494850022,-8.167491087,-7.655607726,,,,,,,,,,,,,,
N#Cc9ccc(c7c(c1ccc(C#N)cc1)c(c4ccc3oc2c(C#N)c([t])c([g])c(C#N)c2oc3c4)c(c5ccc(C#N)cc5)c(c6ccc(C#N)cc6)c7c8ccc(O[d])c(O[e])c8)cc9,,,,,,,,,,,-8.89279003,-7.642065153,-7.742321425,-7.946921557,-9.107905397,-8.428291168,,,,,,,,,,,,,,
