ID,smiles_polymer,smiles_monomer,1/length_non_normalized,source,roe_kj/mol
1.0,[*]OCCOC(C)C([*])=O,CC1OCCOC1=O,0.0,expt,-9.85
4.0,[*]OC(CCC(C)CC([*])=O)C(C)C,CC1CCC(C(C)C)OC(=O)C1,0.0,expt,-16.8
6.0,[*]OCCC(C)CC([*])=O,CC1CCOC(=O)C1,0.0,expt,-13.8
7.0,[*]OCCCC([*])=O,O=C1CCCO1,0.0,expt,-5.4
9.0,[*]OC(C)CCCC([*])=O,CC1CCCC(=O)O1,0.0,expt,-13.8
12.0,[*]OC(CCCCC)CCCC([*])=O,CCCCCC1CCCC(=O)O1,0.0,expt,-17.1
13.0,[*]OC(C)OCCC([*])=O,CC1OCCC(=O)O1,0.0,expt,-11.6
15.0,[*]OCCOCC([*])=O,O=C1COCCO1,0.0,expt,-14.1
17.0,[*]OCCCCC([*])=O,O=C1CCCCO1,0.0,expt,-8.4
19.0,[*]OCCCCCC([*])=O,O=C1CCCCCO1,0.0,expt,-14.0
21.0,[*]OC1CCCCC1CC([*])=O,O=C2CC1CCCCC1O2,0.0,expt,-18.0
23.0,[*]SC1CC(C([*])=O)N(C(=O)OC(C)(C)C)C1,CC(C)(C)OC(=O)N1CC2CC1C(=O)S2,0.0,expt,-15.6
24.0,[*]SC(C)(C)C(NC(=O)OCCOCCOCCOCC=C)C([*])=O,C=CCOCCOCCOCCOC(=O)NC1C(=O)SC1(C)C,0.0,expt,-9.4
25.0,[*]OCC1CCCCC1C([*])=O,O=C1OCC2CCCCC12,0.0,expt,-20.0
32.0,[*]CC(CC)(COCC=C)COC(=O)O[*],C=CCOCC1(CC)COC(=O)OC1,0.0,expt,-22.0
39.0,[*]NCC(C)(CCCC)C([*])=O,CCCCC1(C)CNC1=O,0.0,expt,-79.84
49.0,[*]CCC[*],C1CC1,0.0,expt,-113.0
50.0,[*]CCO[*],C1CO1,0.0,expt,-94.0
51.0,[*]CCCC[*],C1CCC1,0.0,expt,-105.01
52.0,[*]OCCC([*])=O,O=C1CCO1,0.0,expt,-81.0
53.0,[*]CCCCC[*],C1CCCC1,0.0,expt,-21.2
