SN,Polymer_SMILES,Solvent_SMILES,Activities,logD,liquid_density_solvent,MW_rdkit,log10MV
0,CC(=CC[*])C[*],Brc1ccccc1,1,-6.223298816,1.487,157.01,2.023616345
1,CC(=CC[*])C[*],C1CCCCC1,1,-5.649751982,0.773,84.162,2.036936553
2,CC(=CC[*])C[*],C=CCCC,1,-6.812479279,0.635,70.135,2.043161076
3,CC(=CC[*])C[*],CC(=O)CC(C)C,1,-6.503070352,0.796,100.161,2.099785584
4,CC(=CC[*])C[*],CC(=O)OCCC(C)C,1,-6.565431096,0.876,130.187,2.172063513
5,CC(=CC[*])C[*],CC(C)(C)O,1,-6.882728704,0.8,74.123,1.966863001
6,CC(=CC[*])C[*],CC(C)=O,1,-6.478432869,0.784,58.08,1.869710545
7,CC(=CC[*])C[*],CC(C)CC(C)(C)C,1,-6.387216143,0.69,114.232,2.21893869
8,CC(=CC[*])C[*],CC(C)O,1,-7.804100348,0.783,60.096,1.885083804
9,CC(=CC[*])C[*],CCC(C)(C)O,1,-6.752026734,0.805,88.15,2.039426436
10,CC(=CC[*])C[*],CCC(C)=O,1,-6.063572378,0.799,72.107,1.955430648
11,CC(=CC[*])C[*],CCC(CC)CO,1,-7.099086932,0.829,102.177,2.090798617
12,CC(=CC[*])C[*],CCCC=O,1,-7.602059991,0.797,72.107,1.956519106
13,CC(=CC[*])C[*],CCCCC,0,-6.995678626,0.621,72.151,2.065150755
14,CC(=CC[*])C[*],CCCCC,1,-6.806875402,0.621,72.151,2.065150755
15,CC(=CC[*])C[*],CCCCCC,1,-6.050474731,0.656,86.178,2.118492571
16,CC(=CC[*])C[*],CCCCCCC,1,-5.763768052,0.682,100.205,2.167105018
17,CC(=CC[*])C[*],CCCCCCCC,1,-6.166215625,0.699,114.232,2.213310605
18,CC(=CC[*])C[*],CCCCCCCCC,1,-6.355561411,0.7,128.259,2.26298981
19,CC(=CC[*])C[*],CCCCCCCCCC,1,-6.488116639,0.73,142.286,2.28983931
20,CC(=CC[*])C[*],CCCCCCCCCCCC,1,-6.68613278,0.745,170.34,2.35916037
