SN,Polymer_SMILES,Solvent_SMILES,Activities,log10(mmol_solvent/g_Polymer),liquid_density_solvent,MW_rdkit,log10MV
0,CC(=CC[*])C[*],Brc1ccccc1,1,1.25139485,1.487,157.01,2.023616345
1,CC(=CC[*])C[*],CC(=O)OCCC(C)C,1,0.785329835,0.876,130.187,2.172063513
2,CC(=CC[*])C[*],CC(C)CC(C)(C)C,1,0.749621011,0.69,114.232,2.21893869
3,CC(=CC[*])C[*],CCCCCCCCCCCC,1,0.610447221,0.745,170.34,2.35916037
4,CC(=CC[*])C[*],CCCCCCCCCCCCCC,1,0.530071569,0.758,198.394,2.417859328
5,CC(=CC[*])C[*],CCCCCCCCCCCCCCCC,1,0.44963265,0.77,226.448,2.468477764
6,CC(=CC[*])C[*],CCCCOC(C)=O,1,0.823474229,0.876,116.16,2.122552497
7,CC(=CC[*])C[*],CCCOC(C)=O,1,0.786751422,0.883,102.133,2.063205385
8,CC(=CC[*])C[*],CCOC(=O)CC(C)=O,1,-0.408935393,1.021,130.143,2.105395072
9,CC(=CC[*])C[*],CCOC(C)=O,1,0.664641976,0.894,88.106,1.993667966
10,CC(=CC[*])C[*],COC(=O)CC(C)=O,1,-0.769551079,1.072,116.116,2.034697281
11,CC(=CC[*])C[*],COC(=O)c1ccccc1O,1,0.725094521,1.175,152.149,2.112231236
12,CC(=CC[*])C[*],COC(C)=O,1,0.350248018,0.927,74.079,1.902615377
13,CC(=CC[*])C[*],Cc1cc(C)cc(C)c1,1,0.068185862,0.861,120.195,2.14488325
14,CC(=CC[*])C[*],Cc1ccc(C)cc1,1,0.176091259,0.858,106.168,2.092506348
15,CC(=CC[*])C[*],Cc1ccccc1,1,0.206825876,0.865,92.141,2.027436814
16,CC(=CC[*])C[*],Clc1ccccc1,1,1.272537777,1.101,112.559,2.009592907
17,CC(=CC[*])C[*],Fc1ccccc1,1,1.217483944,1.019,96.104,1.97456728
18,CC(=CC[*])C[*],Nc1ccccc1,1,-0.107905397,1.018,93.129,1.961337162
19,CC(=CC[*])C[*],O=[N+]([O-])c1ccccc1,1,0.715167358,1.2,123.111,2.011115613
20,CC(=CC[*])C[*],c1ccccc1,0.01099,-1.209451755,0.873,78.114,1.951714634
21,CC(=CC[*])C[*],c1ccccc1,0.02765,-0.986521609,0.873,78.114,1.951714634
22,CC(=CC[*])C[*],c1ccccc1,0.04362,-0.773126896,0.873,78.114,1.951714634
23,CC(=CC[*])C[*],c1ccccc1,0.08389,-0.478202177,0.873,78.114,1.951714634
24,CC(=CC[*])C[*],c1ccccc1,0.12231,-0.328728635,0.873,78.114,1.951714634
25,CC(=CC[*])C[*],c1ccccc1,0.16188,-0.224811634,0.873,78.114,1.951714634
26,CC(=CC[*])C[*],c1ccccc1,0.19613,-0.133699836,0.873,78.114,1.951714634
27,CC(=CC[*])C[*],c1ccccc1,0.35373,0.167319107,0.873,78.114,1.951714634
28,CC(=CC[*])C[*],c1ccccc1,0.47846,0.360950215,0.873,78.114,1.951714634
29,CC(=CC[*])C[*],c1ccccc1,0.59163,0.510530412,0.873,78.114,1.951714634
30,CC(=CC[*])C[*],c1ccccc1,0.68373,0.646383684,0.873,78.114,1.951714634
31,CC(=CC[*])C[*],c1ccccc1,0.75061,0.759361846,0.873,78.114,1.951714634
