rgroups,num_atoms
[*]CC(C)C(=O)CC,8
[*]N1C(=O)C(c2ccc(Cl)cc2Cl)=C(N2CCC(C)CC2)C1=O,23
[*]N1N=C(c2cnn(C)c2)CC1=O,13
[*]c1cn2cc(C)nc(C)c2n1,12
[*]N1CCc2c1ccc(F)c2F,12
[*]OC=Nc1nc2c(cc1C#N)COC(C)(C)C2,18
[*]OS(=O)(=O)c1ccc([N+](=O)[O-])cc1,14
[*]c1nc2cnccc2n1N1CCOCC1,16
[*]N1C(=O)CC2(CC(c3ccc(F)cc3)=NO2)C1=O,19
[*]N1CCOC(=O)CC1,9
[*]N1CCn2c(cc3ccc(Cl)cc32)C1,15
[*]C(=O)C(C)(C)C(C)(C)C,10
[*]N1CCC2(CCOCC2)C1=O,12
[*]N1CCn2ccnc2C1,10
[*]N1CCC2OCC2(C)C1,10
[*]N1C(=O)Cc2ccccc2C1c1ccccc1,18
[*]CC1=Cc2c(Cl)cccc2CC1,13
[*]c1sc2cc(F)ccc2c1C,12
[*]OS(=O)(=O)c1ccc(S(C)(=O)=O)cc1,15
[*]N1C(=O)c2cccc(Br)c2S1(=O)=O,14
[*]N1CCC2(CC1)OC(=O)c1cc(Br)ccc12,17
[*]ON=C1CCCCCCCCCCC(=O)OCCC1,20
[*]N1CCC2(CC1)c1ccccc1CS2=O,16
[*]CN(N=C(CC)C1CCOC1=O)c1ccccc1,19
[*]N1C(=O)CC(C2(C#N)CCCc3cc4c(nc32)CCCC4)C1=O,24
[*]C(=O)CCCCCBr,9
[*]c1cc(C)nc2c(C3=CCOCC3)cnn12,17
[*]C(CC)CC(F)(F)F,9
[*]N1C(=O)Cc2ccccc2CC1=O,14
[*]C(=O)N1Cc2ccccc2CO1,13
[*]CC(CC)(CC)CBr,9
[*]N1CC2CC1CC(C)(C)C2C,12
[*]CCCCC(Cl)CC,9
[*]N1C(=O)c2oc3ccc(C)cc3c(=O)c2C12C(=O)N(C)c1ccccc12,27
[*]N1CC(C)C(F)C1,8
[*]CN1C(=O)C2(OC(C)CC3=CCCC32)c2c(Br)cccc21,22
[*]N1Cc2ccccc2C2(CCCCC2)C1,16
[*]N1CC2CCCN2C(=O)C1C,12
[*]C(=O)CS(=O)CCC=C,10
[*]N1CCCOCC12CC2,10
[*]c1ccc(C=C)nn1,9
[*]C(=O)N=C(S)N1CCOCC1,12
[*]c1nccn1C,7
[*]N1C2CCC1CC(=C)C2,10
[*]N1Cc2ccccc2C(C)C1,12
[*][N+]1(C)CC(C)OC(C)C1,10
[*]ON=C1CCCOC1,9
[*]N1C(=O)N(C)C2(OC(=O)c3ccccc32)C1=O,18
[*]OP(=S)(c1ccccc1)N1CCOCC1,16
[*]N1C2CCC1COC2,9
[*]c1ncnc2c1oc1ccc(Br)cc12,15
[*]N1C(C=O)C(C)OC1(C)C,11
[*]N1c2ccc(Cl)cc2C2OC2C1C,14
[*]N1CCOc2cccc([N+](=O)[O-])c21,14
[*]N1C(=O)CN(C)C2(C1=O)C1CC3CC(C1)CC2C3,19
[*]c1c(Cl)nc2cc(Cl)ccn12,12
[*]c1nc2ccccc2o1,10
[*]c1ncc2ccc(Cl)cn12,11
[*]c1cn2cccc2cn1,10
[*]OP1(=O)OCCCO1,9
[*]SCOC,5
[*]N1CC(C)CC1(C)C,9
[*]c1ncc(Cl)cc1S(C)(=O)=O,12
[*]c1cc2cc3ccc(C)cc3nc2o1,15
[*]N1CC2COCC(C1)C2C=O,12
[*]c1c(C)nc2scc(C)n12,11
[*]C(=O)CCCCCCCCC,12
[*]C(C)CCC(CC)C(C)C,11
[*]c1nc(C)nc2c1CCC2,11
[*]N1CCN2CCc3cccc1c32,13
[*]N1CCC2(CC1)CN(S(=O)(=O)N1CCCC1)CCO2,20
[*]c1oc(C=Nc2ccc(Cl)cc2Cl)cc1Br,17
[*]C(F)(F)C(F)(F)C(F)(F)F,11
[*]c1ncnc2cccnc12,11
[*]c1nc2ccc(F)cn2n1,11
[*]N1C(=O)C(Cl)=C(N2CCCC2)C1=O,14
[*]N1CC(S(=O)(=O)Cl)CC1=O,11
[*]N1N=C(CCC)CC1=O,10
[*]c1ncc(B2OC(C)(C)C(C)(C)O2)cc1Cl,17
[*]N1CCc2cc(Cl)c(Cl)cc2C1C,14
[*]N1C(=O)CN(C)C2(CCCCCCC2)C1=O,17
[*]c1c2c(=O)n(C)c(=O)n(C)c2c2n1C(C)(C)COC2c1ccc([N+](=O)[O-])cc1,29
[*]c1cc2ccccc2nn1,11
[*]N1N=C2c3cc(C)ccc3CCC2CC1=O,17
[*]c1nc2ccccc2c(=O)o1,12
[*]CC(=O)C(C)(C)F,8
[*]SC(=O)CC(C)CCCC(C)CCCC(C)CCCC(C)C,23
[*]c1ccnn1C,7
[*]c1cnc(C#CC2CC2)cn1,12
[*]CC1=CCC(C(=C)C)CC1,11
[*]c1csc(=Nc2cc(C)ccc2C)n1N1CCOCC1,21
[*]c1nnnc2cc(-c3ccc(Cl)cc3)[se]c12,17
[*]CS,3
[*]c1nnc2c3ccccc3nc-2s1,14
[*]OC1=NCC(=O)N(C)c2ccc(Cl)cc21,16
[*]c1nc(F)ccc1C#N,10
[*]c1ccc(S(C)(=O)=O)c(C)n1,12
[*]N1CC2CCOC2CC(C)(C)C1,13
[*]C(=O)C1=C2SC=C(c3ccccc3)N2CCCC1,19
[*]N1c2ccccc2C2OC2c2ccccc21,17
[*]N1C(C=O)COC12CCCCC2,13
[*]CC(=O)N=c1sc2cc(F)ccc2n1C,16
[*]c1nn(C)c2c1nc(S)n2N1CCOCC1,17
[*]N1CCC2(CCCCc3ccccc3OCCCC(=O)N(C)C2)CC1,26
[*]c1ncc(C)n1N1CCOCC1,13
[*]N1c2ccccc2C2OC2C1C#N,14
[*]CCN=S(=O)(c1ccc(F)cc1)C(F)(F)F,17
[*]N1CCOc2ccc(F)cc21,12
[*]N1Cc2ccccc2C1,10
[*]N1N=C(C)CCC1=O,9
[*]N1CCCc2nc(C)c(C)cc21,13
[*]OP(=O)(On1nnc2ccccc21)N(C)CCBr,19
[*]c1nnc2sc(C=O)nn12,11
[*]N1CC(=O)N2CCOC2C1,11
[*]N1CCC2(CCC(=O)N(C)C2)CC1,14
[*]c1nc2sc3c(c2c2ncnn12)CCCC3,17
[*]N1CCC2(CC(=O)CO2)CC1C,13
[*]c1cc(=O)n2ccc(Cl)cc2n1,13
[*]CS(=O)(=O)C1CC1,8
[*]N1CCC2(CC1)OCC(Br)C(Br)CO2,15
[*]N1CCC(C=O)CC1,9
[*]OC1=C(c2ccc(Cl)cc2Cl)C(=O)OC12CCCCC2,21
[*]c1nn2c(=O)c3ccccc3nc2s1,15
[*]N1CCC(C)C1,7
[*]c1nnc(S)n1N=Cc1sccc1C,15
[*]c1cc(=O)nc2ccc3ccccc3n12,16
[*]N1CCOC1=CC,8
[*]N1CCC2(CC1)COC1c3ccccc3OC(C)(C)C1C2,22
[*]N1CCC2OC2(C#Cc2ccccc2)C1,16
[*]N1CCc2cc3c(cc2C1)OCO3,14
[*]N1CCOC(=O)C12CCCC2,12
[*]N1CCc2cc3c(cc2C1)OCCO3,15
[*]C(C)CCCCCC,9
