smiles,count,class,ring_sizes,fixed_smiles,num_stars
[1*]C1([2*])CCC(=O)N([3*])C1,8426,Amides,6,[*:1]C1([*:2])CCC(=O)N([*:3])C1,3
[1*]C1CCC(=O)N([2*])C1,4236,Amides,6,[*:1]C1CCC(=O)N([*:2])C1,2
[1*]C1CCC(=O)N([3*])C1[2*],4057,Amides,6,[*:1]C1CCC(=O)N([*:3])C1[*:2],3
[1*]N1CCCCC1=O,3316,Amides,6,[*:1]N1CCCCC1=O,1
[1*]C1CCCC(=O)N1[2*],1052,Amides,6,[*:1]C1CCCC(=O)N1[*:2],2
[1*]C1CCC(=O)NC1[2*],640,Amides,6,[*:1]C1CCC(=O)NC1[*:2],2
[1*]C1CC(=O)NCC1[2*],484,Amides,6,[*:1]C1CC(=O)NCC1[*:2],2
[1*]C1CC(=O)N([3*])CC1[2*],430,Amides,6,[*:1]C1CC(=O)N([*:3])CC1[*:2],3
[1*]C1([2*])CCCC(=O)N1,430,Amides,6,[*:1]C1([*:2])CCCC(=O)N1,2
[1*]C1([2*])CC(=O)N([4*])C([3*])C1,411,Amides,6,[*:1]C1([*:2])CC(=O)N([*:4])C([*:3])C1,4
[1*]C1CCC(=O)NC1,308,Amides,6,[*:1]C1CCC(=O)NC1,1
[1*]C1([2*])CCCC(=O)N1[3*],304,Amides,6,[*:1]C1([*:2])CCCC(=O)N1[*:3],3
[1*]C1([2*])CCC(=O)N([4*])C1[3*],300,Amides,6,[*:1]C1([*:2])CCC(=O)N([*:4])C1[*:3],4
[1*]C1([2*])CCC(=O)NC1[3*],239,Amides,6,[*:1]C1([*:2])CCC(=O)NC1[*:3],3
[1*]C1CCN([2*])C(=O)C1,186,Amides,6,[*:1]C1CCN([*:2])C(=O)C1,2
[1*]C1CC(=O)N([3*])C([2*])C1,185,Amides,6,[*:1]C1CC(=O)N([*:3])C([*:2])C1,3
[1*]C1CC(=O)NC([2*])C1,179,Amides,6,[*:1]C1CC(=O)NC([*:2])C1,2
[1*]C1([2*])CCC(=O)NC1,173,Amides,6,[*:1]C1([*:2])CCC(=O)NC1,2
[1*]C1CCNC(=O)C1,163,Amides,6,[*:1]C1CCNC(=O)C1,1
[1*]C1CCC(=O)N([4*])C1([2*])[3*],140,Amides,6,[*:1]C1CCC(=O)N([*:4])C1([*:2])[*:3],4
[1*]C1CCC([3*])C(=O)N1[2*],130,Amides,6,[*:1]C1CCC([*:3])C(=O)N1[*:2],3
[1*]C1CCCC(=O)N1,124,Amides,6,[*:1]C1CCCC(=O)N1,1
[1*]C1CCC([2*])C(=O)N1,122,Amides,6,[*:1]C1CCC([*:2])C(=O)N1,2
[1*]C1CCC(=O)NC1([2*])[3*],111,Amides,6,[*:1]C1CCC(=O)NC1([*:2])[*:3],3
[1*]C1([2*])CC(=O)NC([3*])C1,82,Amides,6,[*:1]C1([*:2])CC(=O)NC([*:3])C1,3
[1*]N1CCCC([2*])([3*])C1=O,65,Amides,6,[*:1]N1CCCC([*:2])([*:3])C1=O,3
[1*]C1CC([2*])N([3*])C(=O)C1[4*],65,Amides,6,[*:1]C1CC([*:2])N([*:3])C(=O)C1[*:4],4
[1*]C1CC(=O)N([4*])C([3*])C1[2*],57,Amides,6,[*:1]C1CC(=O)N([*:4])C([*:3])C1[*:2],4
[1*]C1([2*])CC(=O)NCC1[3*],57,Amides,6,[*:1]C1([*:2])CC(=O)NCC1[*:3],3
[1*]C1CCC([2*])([3*])C(=O)N1,42,Amides,6,[*:1]C1CCC([*:2])([*:3])C(=O)N1,3
[1*]C1([2*])CCN([3*])C(=O)C1,41,Amides,6,[*:1]C1([*:2])CCN([*:3])C(=O)C1,3
[1*]C1([2*])CCNC(=O)C1,41,Amides,6,[*:1]C1([*:2])CCNC(=O)C1,2
[1*]C1CC([2*])N([3*])C(=O)C1([4*])[5*],29,Amides,6,[*:1]C1CC([*:2])N([*:3])C(=O)C1([*:4])[*:5],5
[1*]C1CCC([3*])([4*])C(=O)N1[2*],27,Amides,6,[*:1]C1CCC([*:3])([*:4])C(=O)N1[*:2],4
[1*]C1([2*])CC([5*])C(=O)N([4*])C1[3*],19,Amides,6,[*:1]C1([*:2])CC([*:5])C(=O)N([*:4])C1[*:3],5
[1*]C1CC(=O)NC([2*])([3*])C1,18,Amides,6,[*:1]C1CC(=O)NC([*:2])([*:3])C1,3
[1*]C1CC(=O)NCC1([2*])[3*],16,Amides,6,[*:1]C1CC(=O)NCC1([*:2])[*:3],3
[1*]C1CC([2*])NC(=O)C1[3*],16,Amides,6,[*:1]C1CC([*:2])NC(=O)C1[*:3],3
[1*+]C1CCC(=O)NC1[2*],13,Amides,6,[*:1+]C1CCC(=O)NC1[*:2],2
[1*]C1CC([2*])NC(=O)C1([3*])[4*],12,Amides,6,[*:1]C1CC([*:2])NC(=O)C1([*:3])[*:4],4
[1*]C1CC(=O)NC([3*])C1[2*],10,Amides,6,[*:1]C1CC(=O)NC([*:3])C1[*:2],3
[1*]C1CC(=O)N([4*])C([2*])([3*])C1,9,Amides,6,[*:1]C1CC(=O)N([*:4])C([*:2])([*:3])C1,4
[1*]C1([2*])CCC(=O)N([5*])C1([3*])[4*],8,Amides,6,[*:1]C1([*:2])CCC(=O)N([*:5])C1([*:3])[*:4],5
[1*]C1([2*])CC([3*])NC(=O)C1[4*],8,Amides,6,[*:1]C1([*:2])CC([*:3])NC(=O)C1[*:4],4
[1*]C1CC(=O)N([5*])C([3*])([4*])C1[2*],7,Amides,6,[*:1]C1CC(=O)N([*:5])C([*:3])([*:4])C1[*:2],5
