,zinc_ids,polymer,reactants,n_polymer_atoms
0,ZINC000005210208,*=CC(OC)OC(C=*)(CN)OC,COC1C=CC(CN)(OC)O1,11
1,ZINC000025720303,*=CC(OC)OC(C=*)(CO)OC,COC1C=CC(CO)(OC)O1,11
2,ZINC000166148404,*=CC(OC)OC(C=*)(OC)C(N)=O,COC1C=CC(OC)(C(N)=O)O1,12
3,ZINC000003860952,*=CC(OC)OC(C=*)(OC)C(=O)OC,COC(=O)C1(OC)C=CC(OC)O1,13
4,ZINC000004289101,*=CC(OC)OC(C)(C=*)OC,COC1C=CC(C)(OC)O1,10
5,ZINC000100210111,*=CCC1OC(=O)C(=CO)C1C=*,O=C1OC2CC=CC2C1=CO,11
6,ZINC000199552367,*=CCN(CC=*)c1ncc(B(O)O)cn1,OB(O)c1cnc(N2CC=CC2)nc1,14
7,ZINC000013409685,*=CC1CC(C=*)C(=O)C1=O,O=C1C(=O)C2C=CC1C2,9
8,ZINC000217701111,*=CC(OC)OC(C=*)(CCN)OC,COC1C=CC(CCN)(OC)O1,12
9,ZINC000008100962,*=CC1OC(C=*)C2C(=O)OC(=O)C12,O=C1OC(=O)C2C3C=CC(O3)C12,12
10,ZINC000115660634,*=CCCC(=S)C=*,S=C1C=CCC1,6
11,ZINC000005736216,*=CC(C)(OC)OC(C)(C=*)OC,COC1(C)C=CC(C)(OC)O1,11
12,ZINC000100639241,*=CCN(CC=*)c1ccc(CN)cc1,NCc1ccc(N2CC=CC2)cc1,13
13,ZINC000100940165,*=CC1C(=O)C(=O)C(C=*)C1=C(C)C,CC(C)=C1C2C=CC1C(=O)C2=O,12
14,ZINC000003865996,*=CC(CS(=O)(=O)C=*)N=C=O,O=C=NC1C=CS(=O)(=O)C1,10
15,ZINC000115969139,*=CC1C(=O)OC(=O)C1C=*,O=C1OC(=O)C2C=CC12,9
16,ZINC000169748072,*=Cc1ccc(B(O)O)cc1C=*,OB(O)c1ccc2c(c1)C=C2,11
17,ZINC000004830023,*=CCC1C(=NNC(N)=O)CC1C=*,NC(=O)NN=C1CC2C=CCC12,12
18,ZINC000005480518,*=CC1CC(C=*)C(C=NNC(N)=O)C1,NC(=O)NN=CC1CC2C=CC1C2,13
19,ZINC000036724851,*=CC(CS(=O)(=O)C=*)N=C=S,O=S1(=O)C=CC(N=C=S)C1,10
20,ZINC000068568696,*=CC1OC(C)(C=*)C2C(=O)OC(=O)C12,CC12C=CC(O1)C1C(=O)OC(=O)C12,13
21,ZINC000100212815,*=CC1CC(C=*)C(C(=O)NN)C1,NNC(=O)C1CC2C=CC1C2,11
22,ZINC000100548232,*=CC1(C)OC(C)(C=*)C2C(=O)OC(=O)C21,CC12C=CC(C)(O1)C1C(=O)OC(=O)C12,14
23,ZINC000104100509,*=CC1C(C=*)C2C(=O)OC(=O)C12,O=C1OC(=O)C2C3C=CC3C12,11
24,ZINC000217422065,*=CC(CC(=O)Cl)CS(=O)(=O)C=*,O=C(Cl)CC1C=CS(=O)(=O)C1,11
25,ZINC000017858938,*=CC1OC(C=*)C2C(=O)N(O)C(=O)C12,O=C1C2C3C=CC(O3)C2C(=O)N1O,13
26,ZINC000034781165,*=CCOS(=O)(=O)C=*,O=S1(=O)C=CCO1,7
27,ZINC000002579070,*=CCNC(C=*)C(N)=O,NC(=O)C1C=CCN1,8
28,ZINC000005328491,*=CC1OC(C=*)C(C(N)=O)C1C(N)=O,NC(=O)C1C2C=CC(O2)C1C(N)=O,13
29,ZINC000005373027,*=CC1OC(C=*)(CO)C2C(=O)NC(=O)C12,O=C1NC(=O)C2C1C1C=CC2(CO)O1,14
30,ZINC000100180088,*=CN=C1NC(N)=NC(=O)C1C=*,NC1=NC(=O)C2C=CN=C2N1,11
31,ZINC000001592402,*=CC1CC(C=*)C(C(=O)Cl)C1,O=C(Cl)C1CC2C=CC1C2,10
32,ZINC000006645067,*=CC1CC(C=*)C(C=C(C#N)C(N)=O)C1,N#CC(=CC1CC2C=CC1C2)C(N)=O,14
33,ZINC000012358630,*=CCC=C(C=*)C=O,O=CC1=CCC=C1,7
34,ZINC000104148455,*=CC=C(O)CC1=C(C=*)CC(=O)OC1=O,O=C1CC2=C(CC(O)=CC=C2)C(=O)O1,14
35,ZINC000001721563,*=CCCC(C=*)=C(C#N)CC#N,N#CCC(C#N)=C1C=CCC1,11
36,ZINC000054959960,*=CC1CCC(C=*)C1Br,BrC1C2C=CC1CC2,8
37,ZINC000003865117,*=CC(CS(=O)(=O)C=*)SC#N,N#CSC1C=CS(=O)(=O)C1,10
38,ZINC000008100954,*=CC1CC(C=*)C2C(=O)OC(=O)C12,O=C1OC(=O)C2C3C=CC(C3)C12,12
39,ZINC000071785321,*=CC1C(=NNC(N)=O)C2CC2C1C=*,NC(=O)NN=C1C2C=CC2C2CC12,13
40,ZINC000071785346,*=CCC1CCC(=NNC(N)=O)C1C=*,NC(=O)NN=C1CCC2CC=CC12,13
41,ZINC000005133360,*=CCC1OC1C=*,C1=CC2OC2C1,6
42,ZINC000005224738,*=CC(CS(=O)(=O)C=*)C(C#N)C#N,N#CC(C#N)C1C=CS(=O)(=O)C1,12
43,ZINC000012410378,*=CC(CC(C=*)=NOC)=NOC,CON=C1C=CC(=NOC)C1,11
44,ZINC000014958654,*=CC(O)CC(=O)OC(C)CC1OC1C=*,CC1CC2OC2C=CC(O)CC(=O)O1,14
45,ZINC000018120368,*=CCCC(=NN)C(CCC=*)=NN,NN=C1CCC=CCCC1=NN,12
