polymer_smiles,ROP of,monomer_smiles,Enthalpy of Polymerization (kJ/mol),Glass Transition Temperature (K),Specific Heat Capacity (J {gK}^{-1}),Tensile Strength at break (MPa),Thermal Decomposition Temperature (K),Youngs Modulus (GPa),fitness
[*]OC(C)(C)C([*])CC(NC(=O)OC(C)(C)C)C(=O)OCC,Ether,CCOC(=O)C(CC1OC1(C)C)NC(=O)OC(C)(C)C,-44.34299817804151,372.8815644979477,1.257550892829895,13.9638507373631,549.9904792070389,0.2851561852636933,0.0064753451363016
[*]OC=CC(=O)CC1([*])CC(OC)C1,Cycloalkene,COC1CC2(C1)CC(=O)C=CO2,-7.769465488900707,315.0998484492302,1.3698886650800703,14.999344903975729,547.3798704206944,0.2772536306927353,0.0064753430235342
[*]OC=CC(=O)CC1([*])CC(OC)C1,Ether,COC1CC2(C1)CC(=O)C=CO2,-7.769465488900707,315.0998484492302,1.3698886650800703,14.999344903975729,547.3798704206944,0.2772536306927353,0.0064753430235342
[*]=CCC1CN(Cc2occc2C(=O)OC)CC1CC=[*],Cycloalkene,COC(=O)c1ccoc1CN1CC2CC=CCC2C1,-1.5549137603272325,314.8786649405956,1.1687294882535937,15.289636728167537,610.6852931812406,0.2962512077371031,0.0064753379134435
[*]SC(C)C(CNC(=O)N1CC(=O)N(CCOC)C1)CC([*])C,Thioether,COCCN1CN(C(=O)NCC2CC(C)SC2C)CC1=O,9.858744537285022,325.9360206127167,1.342336330115795,14.23593351095915,547.1345573231578,0.2997774176633358,0.0064753298948493
[*]CCCCN(C(=O)CNC1CCN(Cc2ccc(OC)cc2)CC1)[C@H](CC(C)C)CN(C[C@@H](OC)[C@H](O)[C@H](O)CO[*])C(C)=O,Ether,CO[C@@H]1CN(C[C@@H](CC(C)C)N(CCCCOC[C@@H](O)[C@H]1O)C(=O)CNC1CCN(Cc2ccc(OC)cc2)CC1)C(C)=O,20.196059835344805,320.0049986541271,1.4328844055533407,15.56382696181536,561.7162664964795,0.2872279248610884,0.006475294905461
[*]CC(C(=O)N(CC)CCOCC)C(N)CS[*],Thioether,CCOCCN(CC)C(=O)C1CSCC1N,-2.9563866088820667,306.1969699859619,1.5438085210323331,15.324133540689948,565.4429696917534,0.2804609693220258,0.0064752831973998
[*]CCN(CCS[*])C(C)CNS(=O)(=O)CCC,Thioether,CCCS(=O)(=O)NCC(C)N1CCSCC1,6.623842996329635,280.61549842357635,1.5360306936502457,15.275215148180726,528.6355415940285,0.308763628025949,0.006475282435715
[*]CCN(CCS[*])CC(C)NS(=O)(=O)CCC,Thioether,CCCS(=O)(=O)NC(C)CN1CCSCC1,6.623842996329635,280.61549842357635,1.5360306936502457,15.275215148180726,528.6355415940285,0.308763628025949,0.006475282435715
[*]OCCNCC([*])C(=O)NCC(=O)N(CC)CC,Ether,CCN(CC)C(=O)CNC(=O)C1CNCCO1,3.322205915953377,317.35731932520866,1.383566314578056,15.294143564999104,552.4839392244816,0.2790684255871177,0.0064752553522298
[*]CCCCC(=O)C=C(S[*])C(N)c1ncccc1CC,Thiocane,CCc1cccnc1C(N)C1=CC(=O)CCCCS1,-11.344117971329364,295.0641533732414,1.439001478552818,16.018633224070072,535.7234890446067,0.2725308487744629,0.0064752358275438
[*]OC(C)CC(CC([*])C)(NC)C(=O)O,Ether,CNC1(CC(C)OC(C)C1)C(O)=O,1.8353355650598029,315.134163916111,1.5971286499500272,13.70206100717187,483.3242196880281,0.3137057159137725,0.0064751423549295
