SN,smiles,bandgap_crystal
1,[*]C=C([*])C#N,0.5068
2,[*]C#CC(=C([*])c1cnc2ccccc2c1)c1cnc2ccccc2c1,0.5725
3,[*]C=CC1=C(O)C(O)=C([*])C1,0.8286
4,[*]c1cc(C#N)c([*])s1,1.0894
5,[*]C=c1ccc(=c2ccc(=Cc3ccc([*])s3)s2)s1,1.224
6,[*]c1cc2c(s1)-c1sc([*])cc1C2CCCCCCN,1.3223
7,[*]c1cc(-c2sc(-c3cc(C)c([*])s3)cc2C)c2cccccc1-2,1.3327
8,[*]C#CC=C[*],1.3369
9,[*]C=Cc1ccc([*])n1CCCCCC,1.3683
10,[*]SC([*])=S,1.7109
11,[*]c1cnc([*])s1,1.7987
12,C(=O)C(=S)OC(=S),1.8121
13,[*]c1cccc(-c2nc3cc4nc([*])c(-c5ccccc5)nc4cc3nc2-c2ccccc2)c1,1.9959
14,[*]c1cccc(-c2ccc(-c3ccc([*])s3)s2)n1,2.0464
15,[*]c1ccc([*])n1CCC(=O)OC(C)C(=O)OCC,2.05
16,[*]Nc1ccc(Cc2ccc(NC(=O)c3cc(C([*])=O)cc(N4C(=O)C=CC4=O)c3)cc2)cc1,2.0738
17,[*]c1ccc(-c2ccc(-c3ccc(-c4ccc([*])n4CCCCCCCCCCCC)s3)s2)s1,2.1442
18,[*]C=C([*])C(C)=O,2.1853
19,[*]c1ccc(Sc2ccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)cc2)cc1,2.3234
20,[*]NC(=S)NC(=S)[*],2.3647
21,CC(=S)CC(=S),2.4504
22,[*]Nc1ccc(-c2ccc(NC(=O)c3cc(C([*])=O)cc(S(=O)(=O)c4ccccc4)c3)cc2)cc1,2.4795
23,[*]C(C#N)=C(c1ccccc1)c1ccc([*])cc1,2.5883
24,[*]Nc1ccc(C([*])=O)cc1,2.6498
25,[*]C(I)=C([*])I,2.7328
26,[*]c1ccc([*])c(O)c1,2.8315
27,[*]c1ccc2c(c1)C(CC(CC)CCCC)(CC(CC)CCCC)c1cc([*])ccc1-2,2.85
28,[*]CC([*])c1ccc(S(=O)(=O)O)cc1,2.9445
29,[*]Nc1ccc(Br)cc1-c1ccc(NC(=O)c2ccc(C([*])=O)cc2)cc1,2.9894
30,[*]Nc1ccc(NC(=O)c2cc(NC(=O)c3ccncc3)cc(C([*])=O)c2)cc1,2.9949
31,[*]Oc1ccc(C2(c3ccc(OC(=O)c4cccc(C([*])=O)c4)c(C)c3)c3ccccc3-c3ccccc32)cc1C,3.0176
32,[*]c1c(F)c(F)c([*])c(F)c1F,3.0457
33,[*]CC([*])CNc1ccc([N+](=O)[O-])cn1,3.0852
34,[*]C=C([*])c1ccsc1,3.1293
35,[*]Oc1ccc(OC(=O)c2ccc(C([*])=O)cc2)cc1C1CCCCCCC1,3.1917
36,[*]C(Cl)=C(Cl)C(Cl)(Cl)C([*])(Cl)Cl,3.2001
37,[*]Sc1ccc([*])cc1,3.387
38,[*]N=P([*])(Cl)Cl,3.4406
39,[*]Cc1ccc(CSSSS[*])cc1,3.591
40,[*]Sc1c(F)c(F)c([*])c(F)c1F,3.6361
41,[*]NC(=O)NC(=O)[*],3.657
42,[*]NNC(=O)C(=O)NNC(=O)CCCCCCCC([*])=O,3.7266
43,[*]OC(c1cccc([N+](=O)[O-])c1)C(C)(C)C([*])=O,3.7458
44,[*]SC(C)C([*])=O,3.8079
45,[*]Oc1cccc(Oc2cccc([*])n2)c1,3.8579
46,[*]NOC(=S)O[*],3.9632
47,[*]CC([*])C(=O)c1ccc(CC)cc1,3.9853
48,C(F)(F)C(=O)C(F)(F)C(=O),4.1205
49,[*]CCCCCCCCCCCNC(=O)c1ccc(C(=O)N[*])cc1,4.214
50,[*]Oc1ccc(SSCCCCCCCCCCSSc2ccc([*])cc2)cc1,4.2235
51,[*]CC(C)C(C)COC(=O)c1ccc(C(=O)O[*])cc1,4.2335
52,[*]CC([*])C(=O)Nc1ccccc1Cl,4.2427
53,[*]Nc1nc([*])nc(Cl)n1,4.2584
54,[*]CCCCCCSSCCCCSS[*],4.2836
55,[*]CCCC1CCN(C(=O)SSCCCCSSC(=O)N2CCC([*])CC2)CC1,4.297
56,[*]CCOC(=O)Nc1ccc(C(C)(C)c2ccc(NC(=O)O[*])cc2)cc1,4.3346
57,[*]CCCCCNC(=S)N[*],4.3365
58,[*]CCc1ccc(Cc2ccc(CCS[*])cc2)cc1,4.3552
59,[*]CC(C[N-][N+]#N)(C[N-][N+]#N)CO[*],4.4086
60,[*]CC(CCC)C(CCC)COC(=O)c1ccc(C(=O)O[*])cc1,4.4708
61,[*]CC(C)(C)COC(=O)Nc1ccc(NC(=O)O[*])cc1,4.4894
62,[*]CC1CC1COC(=O)c1cccc(C(=O)O[*])c1,4.4908
63,[*]CC([*])CCc1ccc(C)cc1,4.5772
64,[*]OC(c1ccc(OC)cc1)C(C)(C)C([*])=O,4.5832
65,[*]CC([*])(Br)Br,4.6615
66,[*]CCCNC(=O)CCCCCCCC(=O)NCCCNC(=O)C(=O)N[*],4.6809
67,[*]Oc1c(Cl)cc(C2(c3cc(Cl)c(OC([*])=O)c(Cl)c3)CC3CCC2C3)cc1Cl,4.6838
68,[*]C(=O)c1ccc(C(=O)N2CCN([*])CC2)cc1,4.7036
69,[*]CC1CC1COC(=O)Nc1ccc(C)c(NC(=O)O[*])c1,4.7181
70,[*]CCC(C)C(C)CCNC(=O)c1cccc(C(=O)N[*])c1,4.7199
71,[*]NC(=O)NO[*],4.7317
72,[*]Oc1ccc(C(CC)c2ccc(OC([*])=O)cc2)cc1,4.7325
73,[*]CCCCCCOC(=O)NCCSCCSCCNC(=O)O[*],4.7777
74,[*]C=CC1CC([*])C(C(=O)OCCNC(C)(C)C)C1,4.7904
75,[*]CC([*])c1ccc(C(=O)OCC(C)C)cc1,4.8032
76,[*]CC([*])(C)C(=O)Oc1ccccc1,4.8118
77,[*]CCc1cc(Cl)c([*])cc1Cl,4.8608
78,[*]CS[*],4.8805
79,[*]CC([*])(C)C(=O)OCCc1ccccc1,4.9946
80,[*]CCCCCC(=O)S[*],5.0001
81,[*]CC1CCC(COC(=O)NCCSCCCSCCNC(=O)O[*])CC1,5.0712
82,[*]CC([*])C(=O)OCCCCSC,5.1007
83,[*]C=CC1CC([*])C2C(=O)N(CCCCCCCCC)C(=O)C12,5.104
84,[*]CCOC(=O)NCCSCCCCSCCNC(=O)O[*],5.1094
85,[*]CC([*])C(=O)OCCCSCC,5.1212
86,[*]CCCCCCOC(=O)NCCSCCCCCSCCNC(=O)O[*],5.1327
87,[*]CC1CCC(CNC(=O)c2cc(C(=O)N[*])cc(C(C)(C)C)c2)CC1,5.1615
88,[*]SC1CCCC([*])C1,5.2199
89,[*]CC([*])C(=O)C(C)(C)C,5.2414
90,[*]OC(=O)CCCCCCCCCCCCC([*])=O,5.2681
91,[*]C=CC(C)(C)CC(C#N)C[*],5.2738
92,[*]CC1CCC(CNC(=O)CCCCCC(=O)N[*])CC1,5.2823
93,[*]CC([*])(C)C(=O)OC(C(F)(F)F)C(F)(F)F,5.3218
94,[*]CC([*])C1=NCCN1,5.3283
95,[*]CC([*])(C)C(=O)OCC(=O)N1CCCC1,5.3385
96,[*]CCOC(=O)C1C2C=CC(C2)C1C(=O)O[*],5.3661
97,[*]CC([*])(C)C(=O)OCC(F)(F)C(F)F,5.3983
98,[*]CC(OCC)C(C#N)(C#N)C([*])(C#N)C(=O)OC,5.4071
99,[*]SC([*])(F)F,5.4099
100,[*]CCCCCOC(=O)NC(=O)C1CC1C(=O)NC(=O)O[*],5.4301
101,[*]CC1CCC(COC(=O)NCCSCCCCCSCCNC(=O)O[*])CC1,5.4414
102,[*]CC(CBr)O[*],5.4664
