SN,smiles,eib
1,[*]C=C([*])C#N,-1.2339982810569383
2,[*]C1=CC2=CC([*])=NC2=N1,-1.2205672897161632
3,C(F)(F)C(F)(F)C(=O)C(=S),-0.9538766515609076
4,[*]CC(=O)C(=S)C(=O)[*],-0.6221487233170633
5,[*]C1=CC2=NC([*])=CC2=N1,-0.5875101266123508
6,[*]NC1=CC(=O)C([*])=CC1=O,-0.2220538312463862
7,C(=O)C(=S)C(=O)O,-0.1891171129736291
8,[*]C([*])(C#N)C#N,-0.1727007943746716
9,[*]NC(=O)C(=S)C(=O)[*],-0.1505122594226993
10,[*]OC1=CC(=O)C([*])=CC1=O,-0.1488081907442531
11,[*]NC(=S)NO[*],-0.1251739510430596
12,[*]c1ccc(-n2c(=O)c3ccc4c5cc6c([*])ccc6n5c(=O)c-4cc3c2=O)cc1C,-0.062253883848502
13,[*]C(=O)C(S1)=CC=C1C(S2)=CC=C2C(=S)[*],-0.0031505789051449
14,C(F)(F)C(=O)C(F)(F)C(=O),0.0620508163876305
15,[*]C(=O)C(S1)=CC=C1C(=O)C(=S)[*],0.0649851537559573
16,[*]N=Cc1ccc(C=Nc2sc([*])c(C#N)c2C#N)cc1,0.1052331688744621
17,[*]c1ccc([N+](=O)[O-])c2c1C(=O)c1c([N+](=O)[O-])ccc([*])c1C2=O,0.1242958969924248
18,[*]CC(=O)C(=S)C(S1)=CC=C1[*],0.2175230511174066
19,C(=O)C(=S)OC(=S),0.2368352459519007
20,[*]C(C=C1)=CC=C1C(=S)C(S2)=CC=C2C(=S)[*],0.2617954246089256
21,[*]c1ccc(-c2ccc(-n3c(=O)c4c(F)c5c(=O)n([*])c(=O)c5c(F)c4c3=O)cc2OC)c(OC)c1,0.2704993481729385
22,[*]c1ccc(-c2ccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)cc2OC(F)(F)F)c(OC(F)(F)F)c1,0.273235735332642
23,[*]C=C([*])c1ccc([N+](=O)[O-])cc1,0.2869806264307857
24,[*]c1cc2c(s1)-c1sc([*])cc1C2=C(C#N)C#N,0.292656392122872
25,[*]c1ccc(-n2c(=O)c3cc4c(=O)n(-c5ccc6nc([*])oc(=O)c6c5)c(=O)c4cc3c2=O)cc1,0.3124101594326687
26,[*]N=Nc1ccc([*])cc1,0.3573119561390854
27,[*]c1ccc(-c2ccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5c(C(F)(F)F)c4c3=O)cc2C)c(C)c1,0.3784130102666756
28,[*]NC(=O)C(=S)C(S1)=CC=C1[*],0.3962512101134945
29,[*]c1ccc(S(=O)(=O)c2ccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)cc2)cc1,0.4134813190914133
30,[*]c1ccc(-c2ccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)cc2F)c(F)c1,0.4204993392037473
31,[*]c1ccc(C(=O)c2ccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)cc2)cc1,0.4363380118783105
32,[*]CCCCCn1c(=O)c2ccc3c4ccc5c(=O)n([*])c(=O)c6ccc(c7ccc(c1=O)c2c37)c4c56,0.4393973956223696
33,C(S1)=CC=C1C(=S)C(S2)=CC=C2C(=S)C(=O)NC(C=C3)=CC=C3C(S4)=CC=C4,0.4415726200844841
34,[*]c1ccc(-n2c(=O)c3cc4c(=O)n([*])c(=O)c4cc3c2=O)cc1,0.4416948266710184
35,[*]c1cc(-c2nc3ccccc3[nH]2)cc(-n2c(=O)c3cc4c(=O)n([*])c(=O)c4cc3c2=O)c1,0.4669051258661545
36,[*]c1ccc(C(=O)Oc2ccc(-n3c(=O)c4cc5c(=O)n([*])c(=O)c5cc4c3=O)cc2)cc1,0.471053772888193
